Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data,Golub Capital BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.09,,10.93
2024-12-31,15.16,$1.38,10.99
2024-09-30,14.65,$1.41,10.39
2024-06-30,14.74,$1.65,8.93
2024-03-31,15.15,$2.03,7.46
2023-12-31,13.36,$1.82,7.34
2023-09-30,12.6,$1.52,8.29
2023-06-30,11.27,$0.97,11.62
2023-03-31,11.04,$0.63,17.53
2022-12-31,10.46,$0.68,15.39
2022-09-30,9.61,$0.90,10.68
2022-06-30,9.83,$1.27,7.74
2022-03-31,11.29,$1.67,6.76
2021-12-31,11.25,$1.83,6.15
2021-09-30,11.29,$2.02,5.59
2021-06-30,10.81,$2.17,4.98
2021-03-31,10.06,$2.61,3.85
2020-12-31,9.54,$0.35,27.27
2020-09-30,8.75,$0.14,62.51
2020-06-30,7.53,$-1.45,0.0
2020-03-31,7.94,$-2.06,0.0
2019-12-31,11.44,$-0.06,0.0
2019-09-30,11.39,$-0.10,0.0
2019-06-30,10.58,$1.18,8.96
2019-03-31,10.43,$1.22,8.55
2018-12-31,9.45,$1.32,7.16
2018-09-30,10.49,$1.37,7.66
2018-06-30,10.07,$1.49,6.76
2018-03-31,9.67,$1.44,6.72
2017-12-31,9.67,$1.43,6.76
2017-09-30,9.79,$1.41,6.94
2017-06-30,9.78,$1.33,7.35
2017-03-31,10.01,$1.37,7.3
2016-12-31,9.1,$1.27,7.17
2016-09-30,8.92,$1.33,6.7
2016-06-30,8.53,$1.41,6.05
2016-03-31,8.03,$1.42,5.65
2015-12-31,7.57,$1.52,4.98
2015-09-30,7.13,$1.44,4.95
2015-06-30,7.26,$1.49,4.87
2015-03-31,7.55,$1.48,5.1
2014-12-31,7.57,$1.42,5.33
2014-09-30,6.61,$1.44,4.59
2014-06-30,7.2,$1.32,5.45
2014-03-31,7.12,$1.31,5.44
2013-12-31,7.5,$1.37,5.47
2013-09-30,6.68,$1.35,4.95
2013-06-30,6.62,$1.38,4.8
2013-03-31,6.14,$1.25,4.91
2012-12-31,5.83,$1.35,4.32
2012-09-30,5.68,$1.31,4.34
2012-06-30,5.28,$1.11,4.76
2012-03-31,5.23,$1.21,4.32
2011-12-31,5.2,$1.05,4.95
2011-09-30,4.88,$1.11,4.4
2011-06-30,4.8,$1.32,3.64
2011-03-31,4.97,$1.30,3.82
