Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,201.71,,14.45
2024-12-31,188.97,$13.96,13.54
2024-09-30,262.59,$17.71,14.83
2024-06-30,243.54,$18.85,12.92
2024-03-31,288.17,$17.74,16.24
2023-12-31,255.54,$17.10,14.94
2023-09-30,200.26,$13.27,15.09
2023-06-30,221.53,$13.01,17.03
2023-03-31,200.25,$14.18,14.12
2022-12-31,221.87,$14.45,15.35
2022-09-30,211.89,$14.37,14.74
2022-06-30,207.35,$14.58,14.22
2022-03-31,188.8,$13.34,14.15
2021-12-31,175.7,$13.52,13.0
2021-09-30,180.5,$16.68,10.82
2021-06-30,195.95,$18.48,10.6
2021-03-31,190.39,$16.58,11.48
2020-12-31,156.7,$17.13,9.15
2020-09-30,128.49,$14.59,8.81
2020-06-30,158.23,$12.88,12.28
2020-03-31,164.38,$14.65,11.22
2019-12-31,225.26,$13.27,16.97
2019-09-30,189.39,$14.60,12.97
2019-06-30,200.14,$16.15,12.39
2019-03-31,183.74,$18.48,9.94
2018-12-31,168.1,$19.11,8.8
2018-09-30,226.19,$15.58,14.52
2018-06-30,190.92,$13.56,14.08
2018-03-31,226.28,$11.37,19.9
2017-12-31,206.35,$10.45,19.75
2017-09-30,197.64,$13.24,14.93
2017-06-30,162.01,$12.24,13.24
2017-03-31,173.73,$11.83,14.69
2016-12-31,159.37,$12.14,13.13
2016-09-30,132.3,$9.00,14.7
2016-06-30,144.47,$9.02,16.02
2016-03-31,117.35,$9.42,12.46
2015-12-31,108.29,$8.34,12.98
2015-09-30,91.13,$8.33,10.94
2015-06-30,95.41,$8.00,11.93
2015-03-31,118.38,$6.84,17.31
2014-12-31,94.73,$6.86,13.81
2014-09-30,87.46,$7.63,11.46
2014-06-30,79.24,$7.03,11.27
2014-03-31,85.49,$6.11,13.99
2013-12-31,75.1,$5.17,14.53
2013-09-30,56.1,$4.33,12.96
2013-06-30,46.94,$3.23,14.53
2013-03-31,44.24,$3.11,14.23
2012-12-31,35.87,$2.91,12.33
2012-09-30,34.72,$3.32,10.46
2012-06-30,33.23,$-2.01,0.0
2012-03-31,33.23,$-2.21,0.0
2011-12-31,25.83,$-1.96,0.0
