INmune Bio PE Ratio Historical Data,INmune Bio PE Ratio Historical Data,INmune Bio PE Ratio Historical Data,INmune Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.14,,0.0
2024-09-30,5.39,$-2.18,0.0
2024-06-30,8.82,$-2.06,0.0
2024-03-31,11.75,$-1.92,0.0
2023-12-31,11.26,$-1.67,0.0
2023-09-30,6.77,$-1.52,0.0
2023-06-30,9.08,$-1.47,0.0
2023-03-31,6.46,$-1.49,0.0
2022-12-31,6.34,$-1.52,0.0
2022-09-30,6.2,$-1.75,0.0
2022-06-30,8.84,$-1.87,0.0
2022-03-31,8.42,$-1.93,0.0
2021-12-31,10.2,$-1.86,0.0
2021-09-30,19.42,$-1.55,0.0
2021-06-30,17.57,$-1.36,0.0
2021-03-31,11.88,$-1.12,0.0
2020-12-31,17.22,$-0.99,0.0
2020-09-30,10.31,$-0.97,0.0
2020-06-30,5.25,$-0.89,0.0
2020-03-31,3.33,$-0.73,0.0
2019-12-31,5.8,$-0.54,0.0
