DMC Global PE Ratio Historical Data,DMC Global PE Ratio Historical Data,DMC Global PE Ratio Historical Data,DMC Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.54,,0.0
2024-12-31,7.35,$-8.07,0.0
2024-09-30,12.98,$-7.89,0.0
2024-06-30,14.42,$0.76,18.97
2024-03-31,19.49,$1.22,15.98
2023-12-31,18.82,$1.08,17.43
2023-09-30,24.47,$1.59,15.39
2023-06-30,17.76,$1.67,10.63
2023-03-31,21.97,$1.17,18.78
2022-12-31,19.44,$0.71,27.38
2022-09-30,15.98,$-0.19,0.0
2022-06-30,18.03,$-0.63,0.0
2022-03-31,30.5,$-0.73,0.0
2021-12-31,39.61,$-0.23,0.0
2021-09-30,36.91,$0.09,410.11
2021-06-30,56.21,$0.14,401.5
2021-03-31,54.26,$-0.34,0.0
2020-12-31,43.25,$-0.09,0.0
2020-09-30,32.94,$-0.39,0.0
2020-06-30,27.6,$0.00,0.0
2020-03-31,23.01,$1.53,15.04
2019-12-31,44.68,$2.26,19.77
2019-09-30,43.6,$3.64,11.98
2019-06-30,62.63,$3.51,17.84
2019-03-31,49.06,$2.79,17.58
2018-12-31,34.7,$2.04,17.01
2018-09-30,40.28,$0.89,45.26
2018-06-30,44.31,$-0.42,0.0
2018-03-31,26.39,$-0.84,0.0
2017-12-31,24.69,$-1.31,0.0
2017-09-30,16.65,$-1.33,0.0
2017-06-30,12.89,$-0.57,0.0
2017-03-31,12.18,$-0.63,0.0
2016-12-31,15.54,$-0.45,0.0
2016-09-30,10.44,$-1.45,0.0
2016-06-30,10.51,$-1.53,0.0
2016-03-31,6.32,$-1.58,0.0
2015-12-31,6.8,$-1.72,0.0
2015-09-30,9.25,$-0.84,0.0
2015-06-30,10.62,$-0.36,0.0
2015-03-31,12.29,$-0.05,0.0
2014-12-31,15.37,$0.24,64.05
2014-09-30,18.23,$0.53,34.4
2014-06-30,21.14,$0.61,34.65
2014-03-31,18.15,$0.65,27.93
2013-12-31,20.68,$0.55,37.61
2013-09-30,22.01,$0.74,29.75
2013-06-30,15.65,$0.76,20.6
2013-03-31,16.46,$0.71,23.18
2012-12-31,13.12,$0.87,15.08
2012-09-30,14.13,$0.93,15.19
2012-06-30,16.26,$0.97,16.77
2012-03-31,19.76,$1.06,18.65
2011-12-31,18.48,$0.94,19.66
2011-09-30,14.69,$0.77,19.08
2011-06-30,20.86,$0.55,37.92
2011-03-31,25.96,$0.49,52.98
2010-12-31,20.92,$0.40,52.31
2010-09-30,14.01,$0.38,36.87
2010-06-30,14.8,$0.36,41.12
2010-03-31,14.38,$0.25,57.52
2009-12-31,18.41,$0.66,27.9
