Argo Blockchain PE Ratio Historical Data,Argo Blockchain PE Ratio Historical Data,Argo Blockchain PE Ratio Historical Data,Argo Blockchain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.39,,0.0
2024-09-30,1.21,$-0.20,0.0
2024-06-30,1.15,$-0.29,0.0
2024-03-31,2.17,$-0.47,0.0
2023-12-31,3.74,$-0.37,0.0
2023-09-30,1.0,$-0.33,0.0
2023-03-31,1.67,$-0.14,0.0
2022-09-30,3.87,$0.44,8.8
