Organogenesis PE Ratio Historical Data,Organogenesis PE Ratio Historical Data,Organogenesis PE Ratio Historical Data,Organogenesis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.88,,0.0
2024-12-31,3.2,$-0.02,0.0
2024-09-30,2.86,$-0.06,0.0
2024-06-30,2.8,$-0.13,0.0
2024-03-31,2.84,$0.04,71.0
2023-12-31,4.09,$0.04,102.25
2023-09-30,3.18,$0.10,31.8
2023-06-30,3.32,$0.08,41.5
2023-03-31,2.13,$0.11,19.36
2022-12-31,2.69,$0.13,20.69
2022-09-30,3.24,$0.46,7.04
2022-06-30,4.88,$0.55,8.87
2022-03-31,7.62,$0.63,12.1
2021-12-31,9.24,$0.70,13.2
2021-09-30,14.24,$0.46,30.96
2021-06-30,16.62,$0.56,29.68
2021-03-31,18.22,$0.36,50.61
2020-12-31,7.53,$0.13,57.92
2020-09-30,3.84,$-0.06,0.0
2020-06-30,3.84,$-0.37,0.0
2020-03-31,3.23,$-0.43,0.0
2019-12-31,4.81,$-0.44,0.0
