Frontiers PE Ratio Historical Data,Frontiers PE Ratio Historical Data,Frontiers PE Ratio Historical Data,Frontiers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.52,,15.33
2024-12-31,7.11,$0.36,19.75
2024-09-30,5.35,$-0.04,0.0
2024-06-30,4.93,$-0.29,0.0
2024-03-31,8.11,$-0.12,0.0
2023-12-31,5.46,$-0.06,0.0
2023-09-30,4.84,$0.29,16.69
2023-06-30,9.67,$0.56,17.27
2023-03-31,9.84,$0.31,31.74
2022-12-31,10.27,$-0.19,0.0
2022-09-30,9.7,$-0.62,0.0
2022-06-30,9.37,$-0.64,0.0
2022-03-31,11.33,$-0.62,0.0
