Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data,Evertec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.13,,21.46
2024-12-31,34.53,$1.73,19.96
2024-09-30,33.84,$1.28,26.44
2024-06-30,33.15,$1.05,31.57
2024-03-31,39.73,$0.99,40.13
2023-12-31,40.72,$1.21,33.65
2023-09-30,36.92,$1.48,24.95
2023-06-30,36.53,$3.39,10.77
2023-03-31,33.42,$3.43,9.74
2022-12-31,32.02,$3.50,9.15
2022-09-30,30.96,$3.62,8.55
2022-06-30,36.37,$2.04,17.83
2022-03-31,40.32,$2.25,17.92
2021-12-31,49.17,$2.21,22.25
2021-09-30,44.93,$2.09,21.5
2021-06-30,42.85,$2.08,20.6
2021-03-31,36.49,$1.61,22.66
2020-12-31,38.5,$1.42,27.11
2020-09-30,33.93,$1.32,25.71
2020-06-30,27.43,$1.19,23.05
2020-03-31,22.14,$1.35,16.4
2019-12-31,33.11,$1.41,23.48
2019-09-30,30.31,$1.34,22.62
2019-06-30,31.71,$1.31,24.2
2019-03-31,26.97,$1.21,22.29
2018-12-31,27.78,$1.16,23.95
2018-09-30,23.29,$0.97,24.01
2018-06-30,21.07,$0.74,28.47
2018-03-31,15.77,$0.74,21.3
2017-12-31,13.16,$0.74,17.79
2017-09-30,15.28,$0.88,17.37
2017-06-30,16.59,$1.06,15.65
2017-03-31,15.15,$1.06,14.3
2016-12-31,16.82,$1.01,16.65
2016-09-30,15.79,$1.08,14.62
2016-06-30,14.54,$0.99,14.69
2016-03-31,12.99,$0.98,13.25
2015-12-31,15.42,$0.96,16.06
2015-09-30,16.55,$0.83,19.94
2015-06-30,19.35,$0.90,21.5
2015-03-31,19.83,$0.86,23.05
2014-12-31,19.97,$0.85,23.5
2014-09-30,20.07,$0.93,21.58
2014-06-30,21.68,$0.87,24.92
2014-03-31,22.0,$-0.17,0.0
