Protara Therapeutics PE Ratio Historical Data,Protara Therapeutics PE Ratio Historical Data,Protara Therapeutics PE Ratio Historical Data,Protara Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.62,,0.0
2024-12-31,5.28,$-2.40,0.0
2024-09-30,1.83,$-2.82,0.0
2024-06-30,2.08,$-3.19,0.0
2024-03-31,4.01,$-3.74,0.0
2023-12-31,1.88,$-3.57,0.0
2023-09-30,1.67,$-6.13,0.0
2023-06-30,2.39,$-5.94,0.0
2023-03-31,3.13,$-5.74,0.0
2022-12-31,2.68,$-5.90,0.0
2022-09-30,2.96,$-3.35,0.0
2022-06-30,2.93,$-3.63,0.0
2022-03-31,5.11,$-3.97,0.0
2021-12-31,6.75,$-4.21,0.0
2021-09-30,6.92,$-4.09,0.0
2021-06-30,9.74,$-4.39,0.0
2021-03-31,15.74,$-4.47,0.0
2020-12-31,24.21,$-5.08,0.0
2020-09-30,16.83,$-4.29,0.0
2020-06-30,29.32,$-6.23,0.0
2020-03-31,23.0,$-15.81,0.0
2019-12-31,16.4,$-27.60,0.0
2019-09-30,10.4,$-38.40,0.0
2019-06-30,16.64,$-45.20,0.0
2019-03-31,20.12,$-45.60,0.0
2018-12-31,90.8,$-45.60,0.0
2018-09-30,78.0,$-47.20,0.0
2018-06-30,98.0,$-80.40,0.0
2018-03-31,100.0,$-82.40,0.0
2017-12-31,76.0,$-84.40,0.0
2017-09-30,80.0,$-88.80,0.0
2017-06-30,61.0,$-62.80,0.0
2017-03-31,70.0,$-68.80,0.0
2016-12-31,76.0,$-69.20,0.0
2016-09-30,373.2,$-68.00,0.0
2016-06-30,321.2,$-64.00,0.0
2016-03-31,309.6,$-57.20,0.0
2015-12-31,620.4,$-52.40,0.0
2015-09-30,556.4,$-17.60,0.0
