ARC Document Solutions PE Ratio Historical Data,ARC Document Solutions PE Ratio Historical Data,ARC Document Solutions PE Ratio Historical Data,ARC Document Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,3.37,,18.72
2024-06-30,2.56,$0.18,14.22
2024-03-31,2.64,$0.20,13.18
2023-12-31,3.07,$0.18,17.06
2023-09-30,2.92,$0.25,11.7
2023-06-30,2.94,$0.27,10.89
2023-03-31,2.83,$0.26,10.88
2022-12-31,2.58,$0.27,9.54
2022-09-30,1.95,$0.28,6.95
2022-06-30,2.22,$0.26,8.56
2022-03-31,3.26,$0.24,13.57
2021-12-31,2.88,$0.21,13.7
2021-09-30,2.41,$0.18,13.39
2021-06-30,1.74,$0.18,9.66
2021-03-31,1.69,$0.15,11.28
2020-12-31,1.18,$0.15,7.87
2020-09-30,0.72,$0.14,5.13
2020-06-30,0.8,$0.09,8.87
2020-03-31,0.64,$0.07,9.1
2019-12-31,1.09,$0.09,12.06
2019-09-30,1.05,$0.13,8.11
2019-06-30,1.58,$0.20,7.91
2018-12-31,1.59,$0.20,7.95
2018-09-30,2.2,$-0.11,0.0
2018-06-30,1.37,$-0.16,0.0
2018-03-31,1.71,$-0.57,0.0
2017-12-31,1.98,$-0.50,0.0
2019-03-31,1.73,$-0.19,0.0
2017-09-30,3.17,$-0.14,0.0
2017-06-30,3.22,$0.24,13.44
2017-03-31,2.67,$-1.06,0.0
2016-12-31,3.94,$-1.05,0.0
2016-09-30,2.9,$-1.05,0.0
2016-06-30,3.02,$0.58,5.2
2016-03-31,3.49,$1.99,1.75
2015-12-31,3.43,$2.03,1.69
2015-09-30,4.61,$1.92,2.4
2015-06-30,5.9,$0.31,19.03
2015-03-31,7.16,$0.22,32.52
2014-12-31,7.92,$0.16,49.52
2014-09-30,6.28,$-0.14,0.0
2014-06-30,4.54,$-0.23,0.0
2014-03-31,5.77,$-0.31,0.0
2013-12-31,6.37,$-0.33,0.0
2013-09-30,3.56,$-0.11,0.0
2013-06-30,3.1,$-0.54,0.0
2013-03-31,2.31,$-0.58,0.0
2012-12-31,1.98,$-0.66,0.0
2012-09-30,3.31,$-1.45,0.0
2012-06-30,3.9,$-2.87,0.0
2011-12-31,3.56,$-2.93,0.0
2011-09-30,2.6,$-2.96,0.0
2011-06-30,5.48,$-2.15,0.0
2011-03-31,8.02,$-0.85,0.0
2010-12-31,5.88,$-0.73,0.0
2012-03-31,4.18,$-0.61,0.0
2010-09-30,6.09,$-0.51,0.0
2010-06-30,6.77,$-0.56,0.0
2010-03-31,6.95,$-0.46,0.0
2009-12-31,5.43,$-0.31,0.0
