Advent Technologies Holdings PE Ratio Historical Data,Advent Technologies Holdings PE Ratio Historical Data,Advent Technologies Holdings PE Ratio Historical Data,Advent Technologies Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.34,,0.0
2024-09-30,2.16,$-26.97,0.0
2024-06-30,3.05,$-25.95,0.0
2024-03-31,0.18,$-33.98,0.0
2023-12-31,0.22,$-37.26,0.0
2023-09-30,0.39,$-52.85,0.0
2023-06-30,0.59,$-53.45,0.0
2023-03-31,1.06,$-47.75,0.0
2022-12-31,1.81,$-43.24,0.0
2022-09-30,3.06,$-21.02,0.0
2022-06-30,2.52,$-21.32,0.0
2022-03-31,2.32,$-16.82,0.0
2021-12-31,7.01,$-12.31,0.0
2021-09-30,8.7,$-6.91,0.0
2021-06-30,9.64,0,0.0
2021-03-31,13.39,$2.10,6.37
2020-12-31,14.93,0,0.0
2020-09-30,10.34,0,0.0
2020-06-30,10.22,0,0.0
2020-03-31,10.16,0,0.0
2019-12-31,10.12,0,0.0
