ACNB PE Ratio Historical Data,ACNB PE Ratio Historical Data,ACNB PE Ratio Historical Data,ACNB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.25,,11.06
2024-12-31,39.83,$3.73,10.68
2024-09-30,43.37,$3.44,12.61
2024-06-30,35.75,$3.66,9.77
2024-03-31,36.69,$3.46,10.6
2023-12-31,43.31,$3.72,11.64
2023-09-30,30.35,$4.44,6.84
2023-06-30,31.57,$4.58,6.89
2023-03-31,30.69,$4.45,6.9
2022-12-31,37.25,$4.15,8.98
2022-09-30,27.91,$3.47,8.04
2022-06-30,27.39,$3.11,8.81
2022-03-31,32.0,$3.10,10.32
2021-12-31,28.41,$3.20,8.88
2021-09-30,25.2,$3.49,7.22
2021-06-30,24.91,$3.44,7.24
2021-03-31,25.9,$3.13,8.28
2020-12-31,21.9,$2.13,10.28
2020-09-30,18.04,$2.04,8.84
2020-06-30,22.46,$2.14,10.49
2020-03-31,25.48,$2.39,10.66
2019-12-31,31.87,$3.36,9.49
2019-09-30,28.7,$3.39,8.47
2019-06-30,32.87,$3.36,9.78
2019-03-31,30.53,$3.22,9.48
2018-12-31,32.19,$3.09,10.42
2018-09-30,30.51,$2.70,11.3
2018-06-30,27.75,$2.11,13.15
2018-03-31,23.67,$1.78,13.3
2017-12-31,23.74,$1.51,15.72
2017-09-30,22.1,$1.58,13.99
2017-06-30,24.15,$1.77,13.64
2017-03-31,22.68,$1.81,12.53
2016-12-31,24.4,$1.80,13.56
2016-09-30,20.62,$1.84,11.21
2016-06-30,19.34,$1.85,10.45
2016-03-31,17.1,$1.83,9.34
2015-12-31,16.13,$1.83,8.81
2015-09-30,15.68,$1.76,8.91
2015-06-30,15.46,$1.73,8.94
2015-03-31,14.77,$1.72,8.59
2014-12-31,15.84,$1.71,9.26
2014-09-30,13.75,$1.69,8.13
2014-06-30,13.78,$1.64,8.4
2014-03-31,13.26,$1.56,8.5
2013-12-31,12.65,$1.56,8.11
2013-09-30,11.67,$1.55,7.53
2013-06-30,11.45,$1.55,7.39
2013-03-31,11.28,$1.52,7.42
2012-12-31,10.84,$1.49,7.28
2012-09-30,10.59,$1.41,7.51
2012-06-30,9.52,$1.39,6.85
2012-03-31,9.36,$1.40,6.69
2011-12-31,8.81,$1.43,6.16
2011-09-30,8.61,$1.41,6.11
2011-06-30,9.73,$1.43,6.8
2011-03-31,9.8,$1.42,6.9
2010-12-31,9.5,$1.42,6.69
2010-09-30,9.03,$1.45,6.23
2010-06-30,8.26,$1.38,5.99
2010-03-31,7.69,$1.27,6.05
2009-12-31,7.43,$1.21,6.14
