Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data,Rayonier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.24,,11.97
2024-12-31,26.1,$2.36,11.06
2024-09-30,30.29,$1.06,28.58
2024-06-30,27.14,$1.00,27.14
2024-03-31,30.72,$1.12,27.43
2023-12-31,30.62,$1.17,26.17
2023-09-30,25.71,$0.54,47.61
2023-06-30,28.1,$0.55,51.1
2023-03-31,29.5,$0.58,50.85
2022-12-31,28.98,$0.72,40.24
2022-09-30,26.13,$0.56,46.66
2022-06-30,32.31,$0.95,34.01
2022-03-31,35.27,$1.20,29.39
2021-12-31,34.4,$1.08,31.85
2021-09-30,30.2,$1.09,27.71
2021-06-30,30.19,$0.55,54.89
2021-03-31,26.89,$0.15,179.26
2020-12-31,24.3,$0.27,90.0
2020-09-30,21.68,$0.32,67.74
2020-06-30,20.12,$0.33,60.98
2020-03-31,18.91,$0.46,41.1
2019-12-31,25.92,$0.45,57.61
2019-09-30,22.13,$0.35,63.22
2019-06-30,23.55,$0.53,44.43
2019-03-31,24.28,$0.67,36.24
2018-12-31,21.14,$0.79,26.76
2018-09-30,25.58,$1.27,20.14
2018-06-30,29.04,$1.28,22.69
2018-03-31,26.22,$1.20,21.85
2017-12-31,23.41,$1.16,20.18
2017-09-30,21.21,$1.05,20.2
2017-06-30,20.94,$1.18,17.75
2017-03-31,20.45,$1.87,10.94
2016-12-31,19.03,$1.72,11.06
2016-09-30,18.81,$1.41,13.34
2016-06-30,18.42,$1.25,14.74
2016-03-31,17.15,$0.35,49.01
2015-12-31,15.26,$0.37,41.24
2015-09-30,15.0,$0.36,41.67
2015-06-30,17.18,$0.45,38.17
2015-03-31,17.94,$0.60,29.91
2014-12-31,18.42,$0.80,23.03
2014-09-30,20.34,$1.35,15.06
2014-06-30,22.67,$1.54,14.72
2014-03-31,21.52,$2.07,10.4
2013-12-31,19.53,$2.86,6.83
2013-09-30,25.51,$2.83,9.02
2013-06-30,25.17,$3.01,8.36
2013-03-31,26.89,$2.88,9.34
2012-12-31,23.18,$2.17,10.68
2012-09-30,21.73,$2.03,10.7
2012-06-30,19.73,$2.25,8.77
2012-03-31,19.2,$2.16,8.9
2011-12-31,19.26,$2.20,8.74
2011-09-30,15.72,$2.23,7.04
2011-06-30,18.43,$1.91,9.67
2011-03-31,17.43,$1.78,9.79
2010-12-31,14.56,$1.79,8.15
2010-09-30,13.75,$2.11,6.51
2010-06-30,11.95,$2.27,5.26
2010-03-31,12.2,$2.85,4.28
2009-12-31,11.19,$2.60,4.3
