Bluerock Homes Trust PE Ratio Historical Data,Bluerock Homes Trust PE Ratio Historical Data,Bluerock Homes Trust PE Ratio Historical Data,Bluerock Homes Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.13,,0.0
2024-09-30,14.95,$-0.98,0.0
2024-06-30,17.5,$-1.50,0.0
2024-03-31,16.97,$-1.17,0.0
2023-12-31,13.99,$-1.30,0.0
2023-09-30,12.92,$-0.77,0.0
