Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.69,,14.48
2024-12-31,53.12,$4.26,12.47
2024-09-30,47.91,$4.63,10.35
2024-06-30,47.51,$4.74,10.02
2024-03-31,49.38,$4.63,10.66
2023-12-31,46.46,$6.95,6.69
2023-09-30,49.68,$10.16,4.89
2023-06-30,41.45,$7.48,5.54
2023-03-31,41.57,$6.89,6.03
2022-12-31,48.95,$3.28,14.93
2022-09-30,45.12,$-0.42,0.0
2022-06-30,37.12,$1.76,21.09
2022-03-31,45.78,$2.24,20.44
2021-12-31,33.85,$2.99,11.32
2021-09-30,32.09,$2.83,11.34
2021-06-30,34.38,$2.06,16.69
2021-03-31,31.75,$2.11,15.05
2020-12-31,26.48,$2.31,11.46
2020-09-30,24.56,$2.41,10.19
2020-06-30,25.4,$2.68,9.48
2020-03-31,19.25,$2.34,8.23
2019-12-31,27.9,$2.25,12.4
2019-09-30,31.42,$2.07,15.18
2019-06-30,28.73,$2.48,11.58
2019-03-31,28.17,$2.59,10.88
2018-12-31,23.92,$2.51,9.53
2018-09-30,25.69,$2.58,9.96
2018-06-30,23.06,$0.88,26.2
2018-03-31,18.34,$-3.38,0.0
2017-12-31,18.38,$-3.25,0.0
2017-09-30,17.6,$-3.94,0.0
2017-06-30,19.5,$-3.11,0.0
2017-03-31,19.19,$0.39,49.21
2016-12-31,16.88,$-0.49,0.0
2016-09-30,16.87,$-0.56,0.0
2016-06-30,17.02,$-0.11,0.0
2016-03-31,16.13,$0.09,179.26
2015-12-31,14.32,$-0.44,0.0
2015-09-30,14.24,$-0.50,0.0
2015-06-30,16.45,$-0.60,0.0
2015-03-31,15.76,$-1.44,0.0
2014-12-31,16.61,$-0.89,0.0
2014-09-30,16.76,$-0.84,0.0
2014-06-30,16.7,$-1.12,0.0
2014-03-31,14.97,$-0.16,0.0
2013-12-31,14.08,$0.00,0.0
2013-09-30,12.78,$-0.05,0.0
2013-06-30,14.28,$0.19,75.17
2013-03-31,12.88,$0.25,51.5
2012-12-31,9.82,$0.38,25.85
2012-09-30,10.36,$0.14,73.99
2012-06-30,10.07,$0.39,25.81
2012-03-31,9.34,$0.11,84.88
2011-12-31,7.75,$-0.13,0.0
2011-09-30,5.69,$0.15,37.92
2011-06-30,7.37,$-0.18,0.0
2011-03-31,7.65,$0.28,27.33
2010-12-31,8.38,$0.65,12.9
2010-09-30,7.19,$1.04,6.92
2010-06-30,6.42,$1.51,4.25
2010-03-31,6.02,$1.42,4.24
2009-12-31,4.61,$1.14,4.04
