Katapult Holdings PE Ratio Historical Data,Katapult Holdings PE Ratio Historical Data,Katapult Holdings PE Ratio Historical Data,Katapult Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.94,,0.0
2024-09-30,10.39,$-8.25,0.0
2024-06-30,16.81,$-6.91,0.0
2024-03-31,11.66,$-6.87,0.0
2023-12-31,10.89,$-8.99,0.0
2023-09-30,10.24,$-8.28,0.0
2023-06-30,0.9,$-9.57,0.0
2023-03-31,0.45,$-10.50,0.0
2022-12-31,0.96,$-9.75,0.0
2022-09-30,0.96,$-4.25,0.0
2022-06-30,1.07,$1.00,1.07
2022-03-31,2.38,$-0.75,0.0
