Fathom Holdings PE Ratio Historical Data,Fathom Holdings PE Ratio Historical Data,Fathom Holdings PE Ratio Historical Data,Fathom Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.93,,0.0
2024-09-30,2.59,$-1.28,0.0
2024-06-30,1.72,$-1.22,0.0
2024-03-31,1.99,$-1.42,0.0
2023-12-31,3.59,$-1.47,0.0
2023-09-30,4.08,$-1.60,0.0
2023-06-30,7.14,$-1.64,0.0
2023-03-31,4.25,$-1.72,0.0
2022-12-31,4.25,$-1.73,0.0
2022-09-30,5.3,$-1.34,0.0
2022-06-30,7.84,$-1.20,0.0
2022-03-31,10.7,$-1.00,0.0
2021-12-31,20.46,$-0.88,0.0
2021-09-30,26.7,$-0.73,0.0
2021-06-30,32.79,$-0.51,0.0
