American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data,American Assets Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.51,,23.04
2024-12-31,26.26,$0.89,29.51
2024-09-30,26.4,$0.91,29.01
2024-06-30,21.83,$0.89,24.53
2024-03-31,21.37,$0.89,24.02
2023-12-31,21.61,$0.84,25.73
2023-09-30,18.39,$0.83,22.15
2023-06-30,17.87,$0.84,21.27
2023-03-31,17.02,$0.82,20.76
2022-12-31,23.92,$0.73,32.76
2022-09-30,22.94,$0.71,32.31
2022-06-30,26.19,$0.67,39.08
2022-03-31,33.08,$0.64,51.68
2021-12-31,32.48,$0.48,67.66
2021-09-30,32.12,$0.39,82.35
2021-06-30,31.77,$0.30,105.89
2021-03-31,27.44,$0.28,97.99
2020-12-31,24.23,$0.46,52.68
2020-09-30,20.04,$0.63,31.81
2020-06-30,22.93,$0.77,29.79
2020-03-31,20.46,$0.82,24.95
2019-12-31,37.26,$0.86,43.32
2019-09-30,37.69,$0.78,48.32
2019-06-30,37.77,$0.78,48.43
2019-03-31,36.54,$0.67,54.53
2018-12-31,31.81,$0.42,75.74
2018-09-30,29.33,$0.43,68.21
2018-06-30,29.91,$0.40,74.77
2018-03-31,25.91,$0.45,57.57
2017-12-31,29.41,$0.62,47.44
2017-09-30,30.38,$0.66,46.02
2017-06-30,29.89,$0.66,45.29
2017-03-31,31.55,$0.71,44.44
2016-12-31,32.29,$0.72,44.84
2016-09-30,32.3,$0.71,45.5
2016-06-30,31.42,$0.82,38.31
2016-03-31,29.37,$0.85,34.56
2015-12-31,28.03,$0.86,32.6
2015-09-30,29.68,$0.84,35.33
2015-06-30,28.3,$0.69,41.02
2015-03-31,31.06,$0.40,77.65
2014-12-31,28.41,$0.33,86.08
2014-09-30,23.39,$0.28,83.53
2014-06-30,24.35,$0.02,1217.75
2014-03-31,23.63,$0.19,124.37
2013-12-31,21.87,$0.16,136.66
2013-09-30,21.08,$0.78,27.02
2013-06-30,21.17,$0.97,21.83
2013-03-31,21.81,$0.93,23.46
2012-12-31,18.91,$0.90,21.01
2012-09-30,18.0,$0.18,99.99
2012-06-30,16.17,$0.18,89.82
2012-03-31,15.06,$0.14,107.58
2011-12-31,13.42,$0.07,191.74
