Xtant Medical Holdings PE Ratio Historical Data,Xtant Medical Holdings PE Ratio Historical Data,Xtant Medical Holdings PE Ratio Historical Data,Xtant Medical Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.48,,0.0
2024-12-31,0.44,$-0.12,0.0
2024-09-30,0.68,$-0.13,0.0
2024-06-30,0.63,$-0.02,0.0
2024-03-31,1.17,$-0.01,0.0
2023-12-31,1.13,$0.00,0.0
2023-09-30,1.1,$0.01,110.0
2023-06-30,0.93,$-0.09,0.0
2023-03-31,0.64,$-0.09,0.0
2022-12-31,0.66,$-0.10,0.0
2022-09-30,0.72,$-0.11,0.0
2022-06-30,0.52,$-0.10,0.0
2022-03-31,0.68,$-0.09,0.0
2021-12-31,0.56,$-0.06,0.0
2021-09-30,1.11,$-0.04,0.0
2021-06-30,1.63,$-0.12,0.0
2021-03-31,2.36,$-0.30,0.0
2020-12-31,1.2,$-0.49,0.0
2020-09-30,0.82,$-0.60,0.0
2020-06-30,0.9,$-0.64,0.0
2020-03-31,0.67,$-0.60,0.0
2019-12-31,1.6,$-0.62,0.0
2019-09-30,2.84,$-4.81,0.0
2019-06-30,3.0,$-4.91,0.0
2019-03-31,3.05,$-5.14,0.0
2018-12-31,1.61,$-5.63,0.0
2018-09-30,3.85,$-1.32,0.0
2018-06-30,5.55,$-6.72,0.0
2018-03-31,7.89,$-12.82,0.0
2017-12-31,6.87,$-15.61,0.0
2017-09-30,8.65,$-19.33,0.0
2017-06-30,7.92,$-18.49,0.0
2017-03-31,7.47,$-16.45,0.0
2016-12-31,6.6,$-18.61,0.0
2016-09-30,13.56,$-3.24,0.0
