Rand Capital PE Ratio Historical Data,Rand Capital PE Ratio Historical Data,Rand Capital PE Ratio Historical Data,Rand Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.45,,4.27
2024-12-31,19.25,$4.56,4.22
2024-09-30,16.8,$4.98,3.37
2024-06-30,14.99,$4.19,3.58
2024-03-31,13.53,$2.23,6.07
2023-12-31,12.35,$2.53,4.88
2023-09-30,11.97,$2.23,5.37
2023-06-30,11.61,$2.43,4.78
2023-03-31,11.75,$0.66,17.8
2022-12-31,11.49,$-0.34,0.0
2022-09-30,12.3,$-0.09,0.0
2022-06-30,12.14,$0.38,31.94
2022-03-31,12.47,$2.85,4.37
2021-12-31,13.85,$6.12,2.26
2021-09-30,13.05,$5.61,2.33
2021-06-30,13.47,$4.81,2.8
2021-03-31,14.41,$3.27,4.41
2020-12-31,13.99,$0.43,32.52
2020-09-30,8.22,$1.74,4.72
2020-06-30,8.12,$-2.50,0.0
2020-03-31,8.18,$-4.59,0.0
2019-12-31,9.79,$-4.23,0.0
2019-09-30,9.12,$-4.05,0.0
2019-06-30,9.55,$-0.18,0.0
2019-03-31,10.35,$0.81,12.77
2018-12-31,9.12,$-0.54,0.0
2018-09-30,8.76,$-1.53,0.0
2018-06-30,9.82,$-1.17,0.0
2018-03-31,9.81,$-1.17,0.0
2017-12-31,11.01,$-0.99,0.0
2017-09-30,10.8,$-1.62,0.0
2017-06-30,10.18,$-2.52,0.0
2017-03-31,11.09,$-1.89,0.0
2016-12-31,11.53,$-1.71,0.0
2016-09-30,13.27,$-0.18,0.0
2016-06-30,13.77,$1.08,12.75
2016-03-31,16.56,$1.53,10.82
2015-12-31,13.75,$2.16,6.37
2015-09-30,13.98,$6.48,2.16
2015-06-30,14.37,$6.30,2.28
2015-03-31,14.41,$6.84,2.11
2014-12-31,14.92,$6.30,2.37
2014-09-30,11.27,$4.95,2.28
2014-06-30,11.35,$4.32,2.63
2014-03-31,12.73,$3.96,3.21
2013-12-31,11.16,$3.96,2.82
2013-09-30,10.76,$0.18,59.79
2013-06-30,11.49,$-1.35,0.0
2013-03-31,11.02,$2.07,5.32
2012-12-31,8.54,$2.61,3.27
2012-09-30,9.89,$2.97,3.33
2012-06-30,9.67,$6.12,1.58
2012-03-31,11.49,$2.34,4.91
2011-12-31,11.31,$1.80,6.28
2011-09-30,10.22,$2.16,4.73
2011-06-30,10.58,$0.63,16.79
2011-03-31,10.76,$0.45,23.91
2010-12-31,11.78,$-0.18,0.0
2010-09-30,12.33,$-1.44,0.0
2010-06-30,11.86,$-1.08,0.0
2010-03-31,13.57,$-1.89,0.0
2009-12-31,14.52,$-0.99,0.0
