Abits Group PE Ratio Historical Data,Abits Group PE Ratio Historical Data,Abits Group PE Ratio Historical Data,Abits Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.79,,0.0
2024-06-30,0.55,$-0.11,0.0
2021-12-31,2.86,$-0.13,0.0
2021-06-30,22.29,$-0.13,0.0
2021-03-31,4.53,$-0.14,0.0
2020-12-31,1.38,$-0.04,0.0
2020-09-30,1.35,$-0.01,0.0
2020-06-30,0.82,$-0.01,0.0
2020-03-31,0.75,0,0.0
2019-12-31,2.11,$0.01,211.0
2019-09-30,1.81,0,0.0
2019-06-30,2.34,0,0.0
2019-03-31,4.25,$-0.15,0.0
2018-12-31,1.71,$-0.30,0.0
2018-09-30,4.1,$-0.45,0.0
2018-06-30,9.8,$-0.45,0.0
2018-03-31,15.25,$-0.45,0.0
2017-12-31,19.25,$-0.75,0.0
2017-09-30,13.4,$-0.80,0.0
