New York Mortgage Trust PE Ratio Historical Data,New York Mortgage Trust PE Ratio Historical Data,New York Mortgage Trust PE Ratio Historical Data,New York Mortgage Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.88,,0.0
2024-12-31,6.06,$-1.14,0.0
2024-09-30,6.33,$-0.33,0.0
2024-06-30,5.66,$-1.73,0.0
2024-03-31,6.75,$-1.85,0.0
2023-12-31,7.77,$-0.99,0.0
2023-09-30,7.56,$-1.86,0.0
2023-06-30,8.55,$-2.14,0.0
2023-03-31,8.33,$-2.61,0.0
2022-12-31,8.2,$-3.60,0.0
2022-09-30,7.23,$-2.84,0.0
2022-06-30,8.18,$-1.12,0.0
2022-03-31,10.44,$0.20,52.22
2021-12-31,10.35,$1.52,6.81
2021-09-30,11.55,$2.00,5.78
2021-06-30,11.85,$2.52,4.7
2021-03-31,11.59,$3.20,3.62
2020-12-31,9.36,$-4.08,0.0
2020-09-30,6.3,$-4.00,0.0
2020-06-30,6.25,$-4.32,0.0
2020-03-31,3.64,$-5.12,0.0
2019-12-31,14.64,$2.56,5.72
2019-09-30,13.87,$1.84,7.54
2019-06-30,13.66,$2.04,6.7
2019-03-31,13.0,$2.52,5.16
2018-12-31,12.17,$2.48,4.91
2018-09-30,12.16,$3.24,3.75
2018-06-30,11.64,$3.28,3.55
2018-03-31,11.11,$2.88,3.86
2017-12-31,11.18,$2.64,4.23
2017-09-30,10.8,$2.16,5.0
2017-06-30,10.58,$2.04,5.19
2017-03-31,10.17,$2.04,4.99
2016-12-31,10.54,$2.00,5.27
2016-09-30,9.28,$1.68,5.52
2016-06-30,9.05,$1.76,5.14
2016-03-31,6.76,$2.16,3.13
2015-12-31,7.22,$2.48,2.91
2015-09-30,7.15,$4.12,1.74
2015-06-30,9.37,$5.00,1.87
2015-03-31,9.39,$5.56,1.69
2014-12-31,9.02,$5.88,1.53
2014-09-30,8.17,$5.56,1.47
2014-06-30,8.52,$4.96,1.72
2014-03-31,8.2,$4.36,1.88
2013-12-31,7.12,$4.44,1.6
2013-09-30,6.12,$3.84,1.59
2013-06-30,6.38,$3.96,1.61
2013-03-31,6.83,$4.56,1.5
2012-12-31,5.52,$5.00,1.1
2012-09-30,5.9,$3.60,1.64
2012-06-30,5.68,$2.40,2.37
2012-03-31,5.08,$2.80,1.81
2011-12-31,5.4,$2.20,2.45
2011-09-30,4.97,$3.28,1.52
2011-06-30,5.14,$3.96,1.3
2011-03-31,4.72,$2.84,1.66
2010-12-31,4.53,$2.88,1.57
2010-09-30,3.86,$4.08,0.95
2010-06-30,3.97,$4.60,0.86
2010-03-31,4.53,$5.04,0.9
2009-12-31,4.03,$4.80,0.84
