ISpecimen PE Ratio Historical Data,ISpecimen PE Ratio Historical Data,ISpecimen PE Ratio Historical Data,ISpecimen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.37,,0.0
2024-09-30,4.7,$-19.10,0.0
2024-06-30,0.31,$-21.60,0.0
2024-03-31,0.23,$-25.60,0.0
2023-12-31,0.5,$-24.60,0.0
2023-09-30,0.62,$-22.60,0.0
2023-06-30,1.43,$-25.00,0.0
2023-03-31,1.34,$-23.20,0.0
2022-12-31,1.38,$-23.20,0.0
2022-09-30,1.65,$-18.40,0.0
2022-06-30,2.18,$-15.80,0.0
2022-03-31,5.37,$-27.20,0.0
