Lanvins PE Ratio Historical Data,Lanvins PE Ratio Historical Data,Lanvins PE Ratio Historical Data,Lanvins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.32,,8.92
2024-06-30,1.79,$0.26,6.88
2022-12-31,9.12,$0.27,33.78
2022-09-30,9.95,$0.33,30.15
2022-06-30,9.83,$0.35,28.09
2022-03-31,9.83,$-0.34,0.0
2021-12-31,9.71,$1.19,8.16
