Vaalco Energy Inc PE Ratio Historical Data,Vaalco Energy Inc PE Ratio Historical Data,Vaalco Energy Inc PE Ratio Historical Data,Vaalco Energy Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.94,,4.64
2024-09-30,5.67,$0.85,6.68
2024-06-30,6.14,$0.81,7.58
2024-03-31,6.75,$0.60,11.26
2023-12-31,4.29,$0.56,7.66
2023-09-30,4.14,$0.32,12.93
2023-06-30,3.49,$0.37,9.44
2023-03-31,4.15,$0.56,7.4
2022-12-31,4.11,$0.73,5.63
2022-09-30,3.91,$1.14,3.43
2022-06-30,6.18,$1.56,3.96
2022-03-31,5.79,$1.41,4.1
2021-12-31,2.83,$1.38,2.05
2021-09-30,2.59,$0.74,3.5
2021-06-30,2.86,$0.34,8.42
2021-03-31,1.97,$0.25,7.89
2020-12-31,1.56,$-0.83,0.0
2020-09-30,0.88,$-0.75,0.0
2020-06-30,1.09,$-0.95,0.0
2020-03-31,0.79,$-0.97,0.0
2019-12-31,1.96,$0.04,48.89
2019-09-30,1.79,$0.19,9.41
2019-06-30,1.47,$1.54,0.96
2019-03-31,1.97,$1.56,1.26
2018-12-31,1.3,$1.61,0.8
2018-09-30,2.41,$1.50,1.6
2018-06-30,2.41,$0.21,11.45
2018-03-31,0.76,$0.24,3.16
2017-12-31,0.61,$0.16,3.84
2017-09-30,0.72,$0.04,18.06
2017-06-30,0.82,$-0.22,0.0
2017-03-31,0.81,$-0.26,0.0
2016-12-31,0.92,$-0.47,0.0
2016-09-30,0.82,$-1.79,0.0
2016-06-30,0.93,$-2.10,0.0
2016-03-31,0.83,$-2.19,0.0
2015-12-31,1.41,$-2.72,0.0
2015-09-30,1.5,$-3.04,0.0
2015-06-30,1.89,$-2.41,0.0
2015-03-31,2.16,$-1.89,0.0
2014-12-31,4.02,$-1.34,0.0
2014-09-30,7.49,$0.82,9.13
2014-06-30,6.37,$0.81,7.86
2014-03-31,7.53,$0.50,15.06
2013-12-31,6.07,$0.74,8.2
2013-09-30,4.92,$-0.05,0.0
2013-06-30,5.04,$-0.09,0.0
2013-03-31,6.69,$-0.03,0.0
2012-12-31,7.62,$-0.00,0.0
2012-09-30,7.53,$0.48,15.69
2012-06-30,7.6,$0.52,14.62
2012-03-31,8.33,$0.54,15.42
2011-12-31,5.32,$0.58,9.17
2011-09-30,4.28,$0.58,7.38
2011-06-30,5.3,$0.76,6.98
2011-03-31,6.84,$0.74,9.24
2010-12-31,6.31,$0.66,9.56
2010-09-30,5.06,$0.55,9.19
2010-06-30,4.93,$0.40,12.33
2010-03-31,4.35,$0.19,22.9
2009-12-31,4.01,$-0.14,0.0
