ATS PE Ratio Historical Data,ATS PE Ratio Historical Data,ATS PE Ratio Historical Data,ATS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.92,,42.3
2024-12-31,30.48,$0.66,46.18
2024-09-30,29.05,$0.96,30.26
2024-06-30,32.31,$1.35,23.93
2024-03-31,33.72,$1.46,23.1
