Arcturus Therapeutics Holdings PE Ratio Historical Data,Arcturus Therapeutics Holdings PE Ratio Historical Data,Arcturus Therapeutics Holdings PE Ratio Historical Data,Arcturus Therapeutics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.84,,0.0
2024-12-31,16.97,$-3.01,0.0
2024-09-30,23.21,$-2.22,0.0
2024-06-30,24.35,$-2.57,0.0
2024-03-31,33.77,$-3.91,0.0
2023-12-31,31.53,$-1.04,0.0
2023-09-30,25.55,$3.61,7.08
2023-06-30,28.68,$2.89,9.92
2023-03-31,23.97,$4.05,5.92
2022-12-31,16.96,$0.24,70.67
2022-09-30,14.82,$-5.56,0.0
2022-06-30,15.74,$-6.28,0.0
2022-03-31,26.96,$-7.53,0.0
2021-12-31,37.01,$-7.74,0.0
2021-09-30,47.78,$-7.52,0.0
2021-06-30,33.84,$-6.39,0.0
2021-03-31,41.3,$-4.87,0.0
2020-12-31,43.38,$-3.39,0.0
2020-09-30,42.9,$-2.90,0.0
2020-06-30,46.74,$-2.54,0.0
2020-03-31,13.59,$-2.06,0.0
2019-12-31,10.87,$-2.07,0.0
2019-09-30,10.27,$-1.41,0.0
2019-06-30,9.44,$-1.27,0.0
2019-03-31,6.83,$-2.19,0.0
2018-12-31,4.53,$-1.51,0.0
2018-09-30,8.84,$-1.41,0.0
2018-06-30,8.48,$-1.62,0.0
2018-03-31,5.5,$-1.54,0.0
2017-12-31,7.95,$-2.45,0.0
2017-09-30,7.07,$-3.99,0.0
2017-06-30,7.84,$-5.32,0.0
2017-03-31,7.98,$-5.88,0.0
2016-12-31,14.7,$-6.23,0.0
2016-09-30,17.29,$-6.09,0.0
2016-06-30,31.43,$-5.53,0.0
2016-03-31,26.53,$-5.74,0.0
2015-12-31,43.96,$-6.30,0.0
2015-09-30,42.28,$-8.40,0.0
2015-06-30,45.78,$-12.40,0.0
2015-03-31,39.41,$-14.71,0.0
2014-12-31,26.11,$-8.89,0.0
2014-09-30,108.08,$-8.54,0.0
2014-06-30,121.17,$-5.11,0.0
2014-03-31,127.05,$-2.17,0.0
