Blink Charging PE Ratio Historical Data,Blink Charging PE Ratio Historical Data,Blink Charging PE Ratio Historical Data,Blink Charging PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.0,,0.0
2024-09-30,1.72,$-1.51,0.0
2024-06-30,2.74,$-2.39,0.0
2024-03-31,3.01,$-2.86,0.0
2023-12-31,3.39,$-3.22,0.0
2023-09-30,3.06,$-3.49,0.0
2023-06-30,5.99,$-2.26,0.0
2023-03-31,8.65,$-2.11,0.0
2022-12-31,10.97,$-1.94,0.0
2022-09-30,17.72,$-1.84,0.0
2022-06-30,16.53,$-1.69,0.0
2022-03-31,26.46,$-1.49,0.0
2021-12-31,26.51,$-1.31,0.0
2021-09-30,28.61,$-1.10,0.0
2021-06-30,41.17,$-0.86,0.0
2021-03-31,41.1,$-0.65,0.0
2020-12-31,42.75,$-0.58,0.0
2020-09-30,10.31,$-0.45,0.0
2020-06-30,5.68,$-0.43,0.0
2020-03-31,1.73,$-0.41,0.0
2019-12-31,1.86,$-0.37,0.0
2019-09-30,2.6,$-0.34,0.0
2019-06-30,2.68,$-0.37,0.0
2019-03-31,3.13,$-0.33,0.0
2018-12-31,1.72,$-2.84,0.0
