Identiv PE Ratio Historical Data,Identiv PE Ratio Historical Data,Identiv PE Ratio Historical Data,Identiv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.29,,1.08
2024-09-30,3.53,$3.06,1.15
2024-06-30,4.3,$-0.57,0.0
2024-03-31,7.92,$-0.36,0.0
2023-12-31,8.24,$-0.28,0.0
2023-09-30,8.44,$-0.20,0.0
2023-06-30,8.41,$-0.18,0.0
2023-03-31,6.14,$-0.14,0.0
2022-12-31,7.24,$-0.07,0.0
2022-09-30,12.54,$-0.17,0.0
2022-06-30,11.58,$-0.09,0.0
2022-03-31,16.17,$0.02,808.5
2021-12-31,28.14,$-0.01,0.0
2021-09-30,18.84,$0.04,471.0
2021-06-30,17.0,$-0.04,0.0
2021-03-31,11.46,$-0.30,0.0
2020-12-31,8.5,$-0.34,0.0
2020-09-30,6.26,$-0.41,0.0
2020-06-30,5.1,$-0.37,0.0
2020-03-31,3.38,$-0.19,0.0
2019-12-31,5.64,$-0.12,0.0
2019-09-30,5.26,$-0.01,0.0
2019-06-30,5.12,$-0.08,0.0
2019-03-31,5.04,$-0.27,0.0
2018-12-31,3.6,$-0.36,0.0
2018-09-30,5.96,$-0.66,0.0
2018-06-30,3.87,$-0.71,0.0
2018-03-31,3.74,$-0.68,0.0
2017-12-31,3.34,$-0.59,0.0
2017-09-30,4.64,$-0.38,0.0
2017-06-30,5.25,$-0.38,0.0
2017-03-31,7.06,$-0.50,0.0
2016-12-31,3.18,$-1.27,0.0
2016-09-30,2.16,$-2.94,0.0
2016-06-30,1.79,$-3.44,0.0
2016-03-31,2.16,$-3.84,0.0
2015-12-31,1.99,$-3.55,0.0
2015-09-30,3.49,$-2.36,0.0
2015-06-30,5.89,$-2.25,0.0
2015-03-31,8.58,$-1.91,0.0
2014-12-31,13.89,$-1.97,0.0
2014-09-30,13.41,$-1.79,0.0
2014-06-30,11.07,$-4.83,0.0
2014-03-31,11.3,$-5.00,0.0
2013-12-31,5.76,$-5.20,0.0
2013-09-30,7.2,$-4.80,0.0
2013-06-30,7.23,$-2.60,0.0
2013-03-31,14.8,$-9.10,0.0
2012-12-31,15.0,$-9.40,0.0
2012-09-30,8.9,$-9.80,0.0
2012-06-30,9.36,$-9.10,0.0
2012-03-31,20.9,$-2.40,0.0
2011-12-31,22.3,$-1.70,0.0
2011-09-30,19.9,$-1.50,0.0
2011-06-30,23.2,$-1.10,0.0
2011-03-31,26.1,$-1.00,0.0
2010-12-31,25.2,$-2.10,0.0
2010-09-30,18.0,$-5.30,0.0
2010-06-30,16.0,$-6.00,0.0
2010-03-31,19.0,$-6.00,0.0
2009-12-31,23.7,$-6.40,0.0
