Regional Management PE Ratio Historical Data,Regional Management PE Ratio Historical Data,Regional Management PE Ratio Historical Data,Regional Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.68,,7.38
2024-12-31,33.98,$4.16,8.17
2024-09-30,32.38,$2.38,13.61
2024-06-30,28.18,$2.53,11.14
2024-03-31,23.49,$2.30,10.21
2023-12-31,24.01,$1.64,14.64
2023-09-30,26.15,$2.69,9.72
2023-06-30,28.5,$2.84,10.04
2023-03-31,24.11,$3.45,6.99
2022-12-31,25.71,$5.22,4.92
2022-09-30,25.41,$7.01,3.63
2022-06-30,33.6,$8.06,4.17
2022-03-31,43.38,$8.69,4.99
2021-12-31,51.03,$8.33,6.13
2021-09-30,51.46,$7.57,6.8
2021-06-30,40.98,$6.47,6.33
2021-03-31,30.35,$5.28,5.75
2020-12-31,25.99,$2.41,10.78
2020-09-30,14.38,$2.51,5.73
2020-06-30,15.29,$2.58,5.93
2020-03-31,11.79,$2.60,4.54
2019-12-31,25.93,$3.83,6.77
2019-09-30,24.31,$3.35,7.26
2019-06-30,22.77,$2.88,7.91
2019-03-31,21.08,$2.88,7.32
2018-12-31,20.76,$2.93,7.09
2018-09-30,24.89,$2.95,8.44
2018-06-30,30.23,$2.79,10.84
2018-03-31,27.49,$2.61,10.53
2017-12-31,22.71,$2.54,8.94
2017-09-30,20.9,$2.17,9.63
2017-06-30,20.4,$2.28,8.95
2017-03-31,16.78,$2.25,7.46
2016-12-31,22.69,$2.00,11.34
2016-09-30,18.69,$2.01,9.3
2016-06-30,12.66,$1.95,6.49
2016-03-31,14.77,$1.87,7.9
2015-12-31,13.36,$1.78,7.5
2015-09-30,13.38,$1.48,9.04
2015-06-30,15.42,$1.09,14.15
2015-03-31,12.74,$1.02,12.49
2014-12-31,13.65,$1.14,11.97
2014-09-30,15.5,$1.53,10.13
2014-06-30,13.36,$2.01,6.64
2014-03-31,21.29,$2.19,9.72
2013-12-31,29.29,$2.30,12.74
2013-09-30,27.45,$2.17,12.65
2013-06-30,21.58,$2.13,10.13
2013-03-31,17.44,$2.13,8.19
2012-12-31,14.29,$2.12,6.74
