St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data,St Joe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.79,,36.84
2024-12-31,44.93,$1.27,35.38
2024-09-30,58.16,$1.18,49.29
2024-06-30,54.42,$1.22,44.61
2024-03-31,57.56,$1.40,41.11
2023-12-31,59.62,$1.34,44.49
2023-09-30,53.7,$1.59,33.77
2023-06-30,47.68,$1.47,32.44
2023-03-31,40.95,$1.16,35.3
2022-12-31,37.95,$1.21,31.36
2022-09-30,31.36,$1.27,24.69
2022-06-30,38.64,$1.32,29.27
2022-03-31,57.74,$1.44,40.09
2021-12-31,50.64,$1.26,40.19
2021-09-30,40.9,$1.06,38.58
2021-06-30,43.26,$0.93,46.51
2021-03-31,41.52,$0.85,48.85
2020-12-31,41.02,$0.77,53.27
2020-09-30,19.89,$0.58,34.29
2020-06-30,18.72,$0.55,34.03
2020-03-31,16.17,$0.39,41.47
2019-12-31,19.11,$0.45,42.48
2019-09-30,16.51,$0.30,55.04
2019-06-30,16.66,$0.29,57.44
2019-03-31,15.89,$0.53,29.99
2018-12-31,12.69,$0.51,24.89
2018-09-30,16.19,$1.09,14.86
2018-06-30,17.3,$1.08,16.02
2018-03-31,18.17,$0.82,22.16
2017-12-31,17.4,$0.87,20.0
2017-09-30,18.17,$0.33,55.06
2017-06-30,18.07,$0.29,62.32
2017-03-31,16.43,$0.16,102.72
2016-12-31,18.31,$0.22,83.25
2016-09-30,17.72,$0.15,118.11
2016-06-30,17.08,$0.14,122.0
2016-03-31,16.53,$0.12,137.76
2015-12-31,17.84,$-0.02,0.0
2015-09-30,18.44,$-0.11,0.0
2015-06-30,14.97,$-0.14,0.0
2015-03-31,17.89,$0.02,894.5
2014-12-31,17.73,$4.41,4.02
2014-09-30,19.21,$4.53,4.24
2014-06-30,24.51,$4.58,5.35
2014-03-31,18.56,$4.45,4.17
2013-12-31,18.5,$0.05,369.95
2013-09-30,18.91,$-0.04,0.0
2013-06-30,20.29,$0.08,253.63
2013-03-31,20.48,$0.05,409.66
2012-12-31,22.25,$0.07,317.81
2012-09-30,18.8,$-3.40,0.0
2012-06-30,15.24,$-3.60,0.0
2012-03-31,18.32,$-3.74,0.0
2011-12-31,14.13,$-3.58,0.0
2011-09-30,14.45,$-0.05,0.0
2011-06-30,20.09,$-0.16,0.0
2011-03-31,24.17,$-0.11,0.0
2010-12-31,21.06,$-0.39,0.0
2010-09-30,23.97,$-1.01,0.0
2010-06-30,22.32,$-1.03,0.0
2010-03-31,31.18,$-1.43,0.0
2009-12-31,27.85,$-1.43,0.0
