Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data,Tootsie Roll Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.46,,26.56
2024-12-31,32.33,$1.18,27.29
2024-09-30,30.88,$1.27,24.32
2024-06-30,30.48,$1.29,23.72
2024-03-31,31.83,$1.27,25.08
2023-12-31,31.98,$1.23,25.9
2023-09-30,28.57,$1.18,24.26
2023-06-30,33.88,$1.07,31.59
2023-03-31,42.87,$1.03,41.61
2022-12-31,40.55,$1.01,40.28
2022-09-30,31.55,$0.93,33.75
2022-06-30,33.51,$0.91,36.97
2022-03-31,33.05,$0.88,37.76
2021-12-31,34.16,$0.86,39.63
2021-09-30,28.54,$0.79,35.96
2021-06-30,31.81,$0.78,40.56
2021-03-31,30.99,$0.75,41.06
2020-12-31,27.7,$0.77,36.08
2020-09-30,28.65,$0.75,38.02
2020-06-30,31.78,$0.82,38.77
2020-03-31,33.26,$0.88,37.98
2019-12-31,31.49,$0.84,37.59
2019-09-30,34.08,$0.65,52.17
2019-06-30,33.89,$0.60,56.34
2019-03-31,34.09,$0.58,58.7
2018-12-31,30.5,$0.57,53.59
2018-09-30,26.56,$0.97,27.33
2018-06-30,28.01,$0.98,28.64
2018-03-31,26.66,$1.00,26.72
2017-12-31,31.9,$1.02,31.32
2017-09-30,33.22,$0.84,39.64
2017-06-30,30.4,$0.85,35.71
2017-03-31,32.5,$0.84,38.72
2016-12-31,33.5,$0.84,40.09
2016-09-30,30.89,$0.85,36.29
2016-06-30,32.32,$0.82,39.47
2016-03-31,29.23,$0.81,35.89
2015-12-31,25.59,$0.80,31.85
2015-09-30,25.2,$0.79,31.96
2015-06-30,26.03,$0.79,33.09
2015-03-31,27.25,$0.76,35.8
2014-12-31,23.84,$0.77,31.16
2014-09-30,21.65,$0.75,29.06
2014-06-30,22.78,$0.74,30.95
2014-03-31,23.1,$0.73,31.83
2013-12-31,24.31,$0.72,33.98
2013-09-30,22.9,$0.66,34.61
2013-06-30,23.62,$0.62,38.17
2013-03-31,22.17,$0.61,36.4
2012-12-31,19.16,$0.61,31.62
2012-09-30,19.6,$0.58,34.07
2012-06-30,17.28,$0.52,33.15
2012-03-31,16.53,$0.51,32.71
2011-12-31,17.02,$0.50,34.32
2011-09-30,17.29,$0.48,36.06
2011-06-30,20.92,$0.58,36.31
2011-03-31,20.23,$0.60,33.73
2010-12-31,19.94,$0.61,32.7
2010-09-30,17.09,$0.60,28.62
2010-06-30,16.2,$0.59,27.26
2010-03-31,18.46,$0.61,30.25
2009-12-31,18.65,$0.60,31.04
