John Marshall Bancorp PE Ratio Historical Data,John Marshall Bancorp PE Ratio Historical Data,John Marshall Bancorp PE Ratio Historical Data,John Marshall Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.13,,14.39
2024-09-30,19.78,$1.19,16.62
2024-06-30,17.44,$0.17,102.59
2024-03-31,17.67,$0.22,80.3
2023-12-31,22.24,$0.36,61.78
2023-09-30,17.6,$0.62,28.38
2023-06-30,19.81,$1.91,10.37
2023-03-31,21.07,$2.15,9.8
