Meridian Bank PE Ratio Historical Data,Meridian Bank PE Ratio Historical Data,Meridian Bank PE Ratio Historical Data,Meridian Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.14,,14.0
2024-09-30,12.53,$1.01,12.4
2024-06-30,10.3,$0.94,10.96
2024-03-31,9.58,$1.05,9.12
2023-12-31,13.25,$1.15,11.53
2023-09-30,9.23,$1.49,6.22
2023-06-30,9.15,$1.62,5.66
2023-03-31,11.6,$1.69,6.88
2022-12-31,13.83,$1.79,7.75
2022-09-30,13.24,$2.02,6.55
2022-06-30,13.66,$2.30,5.94
2022-03-31,14.38,$2.49,5.79
2021-12-31,15.96,$2.87,5.56
2021-09-30,12.39,$2.99,4.15
2021-06-30,11.27,$2.99,3.78
2021-03-31,11.11,$2.79,3.98
2020-12-31,8.49,$2.16,3.93
2020-09-30,6.54,$1.67,3.93
2020-06-30,6.38,$1.17,5.45
2020-03-31,5.5,$0.86,6.44
2019-12-31,8.12,$0.82,9.97
2019-09-30,7.14,$0.76,9.46
2019-06-30,6.8,$0.71,9.65
2019-03-31,7.26,$0.55,13.2
2018-12-31,6.91,$0.50,13.96
2018-09-30,6.92,$0.31,22.33
