Motorcar Parts Of America PE Ratio Historical Data,Motorcar Parts Of America PE Ratio Historical Data,Motorcar Parts Of America PE Ratio Historical Data,Motorcar Parts Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.39,,0.0
2024-12-31,7.6,$-0.99,0.0
2024-09-30,7.39,$-3.50,0.0
2024-06-30,6.17,$-3.45,0.0
2024-03-31,8.04,$-2.60,0.0
2023-12-31,9.34,$-2.50,0.0
2023-09-30,8.09,$-0.05,0.0
2023-06-30,7.74,$-0.29,0.0
2023-03-31,7.44,$-0.23,0.0
2022-12-31,11.86,$-0.32,0.0
2022-09-30,15.22,$-0.21,0.0
2022-06-30,13.12,$0.32,41.0
2022-03-31,17.83,$0.37,48.19
2021-12-31,17.07,$0.43,39.7
2021-09-30,19.5,$0.71,27.46
2021-06-30,22.44,$1.30,17.26
2021-03-31,22.5,$1.10,20.45
2020-12-31,19.62,$0.63,31.14
2020-09-30,15.56,$0.15,103.73
2020-06-30,17.67,$-0.31,0.0
2020-03-31,12.58,$-0.48,0.0
2019-12-31,22.03,$-0.20,0.0
2019-09-30,16.9,$-0.32,0.0
2019-06-30,21.41,$-0.46,0.0
2019-03-31,18.87,$-0.40,0.0
2018-12-31,16.64,$0.22,75.64
2018-09-30,23.45,$0.02,1172.5
2018-06-30,18.71,$0.17,110.06
2018-03-31,21.43,$0.83,25.82
2017-12-31,24.99,$0.86,29.06
2017-09-30,29.46,$1.79,16.46
2017-06-30,28.24,$1.93,14.63
2017-03-31,30.73,$1.93,15.92
2016-12-31,26.92,$1.55,17.37
2016-09-30,28.78,$1.39,20.71
2016-06-30,27.18,$0.84,32.36
2016-03-31,37.98,$0.55,69.05
2015-12-31,33.81,$0.59,57.31
2015-09-30,31.34,$0.34,92.18
2015-06-30,30.09,$0.51,59.0
2015-03-31,27.79,$0.66,42.11
2014-12-31,31.09,$0.69,45.06
2014-09-30,27.21,$0.61,44.61
2014-06-30,24.35,$0.67,36.34
2014-03-31,26.57,$7.36,3.61
2013-12-31,19.3,$2.08,9.28
2013-09-30,12.67,$2.06,6.15
2013-06-30,9.17,$1.29,7.11
2013-03-31,6.13,$-6.36,0.0
2012-12-31,6.57,$-2.30,0.0
2012-09-30,4.85,$-4.20,0.0
2012-06-30,4.49,$-4.03,0.0
2012-03-31,9.62,$-3.51,0.0
2011-12-31,7.5,$-2.29,0.0
2011-09-30,8.23,$-0.15,0.0
2011-06-30,15.01,$0.59,25.44
2011-03-31,13.98,$0.99,14.12
2010-12-31,13.04,$1.04,12.54
2010-09-30,8.68,$0.92,9.43
2010-06-30,6.38,$0.91,7.01
2010-03-31,6.5,$0.80,8.13
2009-12-31,5.08,$0.46,11.04
