Dominari Holdings PE Ratio Historical Data,Dominari Holdings PE Ratio Historical Data,Dominari Holdings PE Ratio Historical Data,Dominari Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.32,,0.0
2024-09-30,1.85,$-3.87,0.0
2024-06-30,1.87,$-3.86,0.0
2024-03-31,2.45,$-4.64,0.0
2023-12-31,2.59,$-4.44,0.0
2023-09-30,2.32,$-3.16,0.0
2023-06-30,2.91,$-3.67,0.0
2023-03-31,3.22,$-3.06,0.0
2022-12-31,3.28,$-3.54,0.0
2022-09-30,6.84,$-3.88,0.0
2022-06-30,5.9,$-2.71,0.0
2022-03-31,7.65,$-1.87,0.0
2021-12-31,9.98,$-1.87,0.0
2021-09-30,14.01,$-0.68,0.0
2021-06-30,16.27,$-1.70,0.0
2021-03-31,19.38,$-2.55,0.0
2020-12-31,14.85,$-16.84,0.0
2020-09-30,10.44,$-17.69,0.0
2020-06-30,13.94,$-40.14,0.0
2020-03-31,8.62,$-44.05,0.0
2019-12-31,22.44,$-38.26,0.0
2019-09-30,28.56,$11.57,2.47
2019-06-30,42.5,$35.03,1.21
2019-03-31,65.75,$40.14,1.64
2018-12-31,46.49,$33.21,1.4
2018-09-30,72.25,$-28.19,0.0
2018-06-30,76.59,$-28.19,0.0
2018-03-31,86.7,$-55.65,0.0
2017-12-31,101.15,$-52.76,0.0
2017-09-30,107.65,$-166.96,0.0
2017-06-30,187.85,$-174.91,0.0
2017-03-31,89.59,$518.23,0.17
2016-12-31,75.14,$513.17,0.15
2016-09-30,95.37,$638.93,0.15
2016-06-30,171.96,$536.95,0.32
2016-03-31,130.77,"$-2,066.19",0.0
2015-12-31,200.83,"$-2,239.77",0.0
2015-09-30,466.74,"$-2,239.77",0.0
2015-06-30,658.92,"$-2,377.18",0.0
2015-03-31,1148.03,"$-1,387.83",0.0
2014-12-31,1482.57,"$-3,476.45",0.0
2014-09-30,2141.49,"$-3,476.45",0.0
2014-06-30,2457.22,"$-12,751.55",0.0
2014-03-31,4104.52,"$-10,236.97",0.0
2013-12-31,11064.36,"$-7,955.98",0.0
2013-09-30,10899.63,"$-7,955.98",0.0
2013-06-30,6108.74,"$-3,503.93",0.0
2013-03-31,11188.05,"$-10,017.11",0.0
2012-12-31,9370.39,"$-18,536.47",0.0
2012-09-30,16143.54,"$-31,178.09",0.0
2012-06-30,15923.9,"$-36,001.14",0.0
2012-03-31,23885.85,"$-42,047.13",0.0
2011-12-31,32122.35,"$-36,275.95",0.0
2011-09-30,54910.0,"$-31,878.87",0.0
2011-06-30,64793.8,"$-54,963.57",0.0
2011-03-31,120802.0,"$-85,193.54",0.0
2010-12-31,194930.49,"$-118,171.68",0.0
2010-09-30,422806.98,"$-170,387.07",0.0
2010-06-30,370642.49,"$-178,631.61",0.0
2010-03-31,384369.98,"$-167,638.90",0.0
2009-12-31,312986.99,"$-170,387.08",0.0
