MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data,MGP Ingredients PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.26,,20.04
2024-12-31,39.37,$1.51,26.07
2024-09-30,83.05,$4.81,17.27
2024-06-30,74.12,$4.32,17.16
2024-03-31,85.68,$4.33,19.79
2023-12-31,97.86,$4.80,20.39
2023-09-30,104.64,$4.42,23.67
2023-06-30,105.33,$4.90,21.49
2023-03-31,95.74,$4.61,20.77
2022-12-31,105.17,$4.91,21.42
2022-09-30,104.85,$5.30,19.78
2022-06-30,98.75,$5.32,18.56
2022-03-31,84.33,$5.08,16.6
2021-12-31,83.61,$4.29,19.49
2021-09-30,63.94,$3.58,17.86
2021-06-30,66.31,$3.11,21.32
2021-03-31,57.88,$2.70,21.44
2020-12-31,45.97,$2.37,19.4
2020-09-30,38.71,$2.44,15.86
2020-06-30,35.63,$2.31,15.43
2020-03-31,26.02,$2.27,11.46
2019-12-31,46.63,$2.27,20.54
2019-09-30,47.71,$2.20,21.69
2019-06-30,63.56,$2.24,28.37
2019-03-31,73.83,$2.22,33.26
2018-12-31,54.6,$2.17,25.16
2018-09-30,75.5,$2.22,34.01
2018-06-30,84.81,$2.52,33.65
2018-03-31,85.47,$2.45,34.89
2017-12-31,73.27,$2.43,30.15
2017-09-30,57.75,$2.17,26.61
2017-06-30,48.04,$1.90,25.28
2017-03-31,50.87,$1.90,26.78
2016-12-31,46.84,$1.81,25.88
2016-09-30,37.96,$1.71,22.2
2016-06-30,35.79,$1.54,23.24
2016-03-31,22.69,$1.61,14.1
2015-12-31,24.21,$1.48,16.36
2015-09-30,14.94,$1.53,9.76
2015-06-30,15.7,$1.49,10.53
2015-03-31,12.56,$1.33,9.44
2014-12-31,14.74,$1.31,11.25
2014-09-30,12.15,$0.86,14.13
2014-06-30,7.4,$0.15,49.32
2014-03-31,6.27,$-0.11,0.0
2013-12-31,4.78,$-0.28,0.0
2013-09-30,4.83,$-0.25,0.0
2013-06-30,5.49,$0.14,39.24
2013-03-31,4.01,$0.07,57.28
2012-12-31,3.12,$0.08,38.99
2012-09-30,3.48,$0.96,3.63
2012-06-30,2.93,$0.63,4.65
2012-03-31,4.91,$0.10,49.07
2011-12-31,4.56,$0.04,113.94
2011-09-30,4.58,$-0.67,0.0
2011-06-30,7.81,$-0.08,0.0
2011-03-31,7.82,$0.50,15.65
2010-12-31,9.9,$0.32,30.95
2010-09-30,7.04,$0.42,16.77
2010-06-30,5.91,$0.36,16.41
2010-03-31,6.84,$0.36,19.01
2009-12-31,6.82,$0.12,56.81
