Green Plains PE Ratio Historical Data,Green Plains PE Ratio Historical Data,Green Plains PE Ratio Historical Data,Green Plains PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.26,,0.0
2024-12-31,9.48,$-1.36,0.0
2024-09-30,13.54,$-0.38,0.0
2024-06-30,15.86,$-0.72,0.0
2024-03-31,23.12,$-1.23,0.0
2023-12-31,25.22,$-1.62,0.0
2023-09-30,30.1,$-2.40,0.0
2023-06-30,32.24,$-4.02,0.0
2023-03-31,30.99,$-2.40,0.0
2022-12-31,30.5,$-2.36,0.0
2022-09-30,29.07,$-1.88,0.0
2022-06-30,27.17,$-1.79,0.0
2022-03-31,31.01,$-2.32,0.0
2021-12-31,34.76,$-1.33,0.0
2021-09-30,32.65,$-2.58,0.0
2021-06-30,33.62,$-2.40,0.0
2021-03-31,27.07,$-2.84,0.0
2020-12-31,13.17,$-3.14,0.0
2020-09-30,15.48,$-2.84,0.0
2020-06-30,10.22,$-2.90,0.0
2020-03-31,4.85,$-3.79,0.0
2019-12-31,15.43,$-4.38,0.0
2019-09-30,10.6,$-2.12,0.0
2019-06-30,10.78,$-1.37,0.0
2019-03-31,16.54,$-0.26,0.0
2018-12-31,12.9,$0.20,64.51
2018-09-30,16.8,$0.06,279.98
2018-06-30,17.75,$1.11,16.0
2018-03-31,16.21,$0.72,22.51
2017-12-31,16.15,$1.23,13.13
2017-09-30,19.17,$0.71,27.01
2017-06-30,19.42,$0.17,114.21
2017-03-31,23.26,$0.79,29.44
2016-12-31,26.04,$0.25,104.15
2016-09-30,24.38,$-0.31,0.0
2016-06-30,18.26,$-0.35,0.0
2016-03-31,14.68,$-0.37,0.0
2015-12-31,20.9,$0.17,122.93
2015-09-30,17.66,$1.33,13.28
2015-06-30,24.84,$2.20,11.29
2015-03-31,25.68,$2.83,9.07
2014-12-31,22.21,$3.96,5.61
2014-09-30,33.44,$3.54,9.45
2014-06-30,29.34,$2.79,10.52
2014-03-31,26.71,$2.16,12.36
2013-12-31,17.25,$1.20,14.37
2013-09-30,14.25,$1.49,9.57
2013-06-30,11.8,$1.18,10.0
2013-03-31,10.13,$0.74,13.69
2012-12-31,7.01,$0.27,25.95
2012-09-30,5.19,$-0.31,0.0
2012-06-30,5.53,$0.04,138.19
2012-03-31,9.56,$0.43,22.23
2011-12-31,8.65,$1.02,8.48
2011-09-30,8.26,$1.10,7.51
2011-06-30,9.56,$1.01,9.46
2011-03-31,10.65,$1.14,9.34
2010-12-31,9.97,$1.52,6.56
2010-09-30,10.78,$1.99,5.42
2010-06-30,9.05,$1.98,4.57
2010-03-31,12.64,$1.74,7.26
2009-12-31,13.17,$0.78,16.89
