Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data,Golden Ocean Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.97,,6.59
2024-09-30,12.97,$1.21,10.72
2024-06-30,13.03,$1.07,12.18
2024-03-31,11.97,$0.93,12.87
2023-12-31,8.82,$0.56,15.74
2023-09-30,7.04,$0.61,11.54
2023-06-30,6.65,$0.99,6.72
2023-03-31,8.28,$1.63,5.08
2022-12-31,7.41,$2.29,3.24
2022-09-30,6.13,$2.96,2.07
2022-06-30,8.93,$3.41,2.62
2022-03-31,9.19,$3.12,2.95
2021-12-31,6.43,$2.64,2.43
2021-09-30,6.79,$1.81,3.75
2021-06-30,6.66,$1.11,6.0
2021-03-31,3.95,$0.30,13.17
2020-12-31,2.73,$-0.96,0.0
2020-09-30,2.25,$-0.85,0.0
2020-06-30,2.29,$-0.86,0.0
2020-03-31,1.84,$-0.80,0.0
2019-12-31,3.38,$0.27,12.51
2019-09-30,3.3,$0.14,23.55
2019-06-30,3.24,$0.12,26.98
2019-03-31,2.64,$0.41,6.45
2018-12-31,3.38,$0.58,5.83
2018-09-30,5.3,$0.61,8.68
2018-06-30,4.62,$0.37,12.47
2018-03-31,4.17,$0.21,19.88
2017-12-31,4.23,$-0.08,0.0
2017-09-30,4.07,$-0.21,0.0
2017-06-30,3.49,$-0.46,0.0
2017-03-31,3.97,$-0.73,0.0
2016-12-31,2.45,$-1.66,0.0
2016-09-30,2.1,$-3.72,0.0
2016-06-30,1.72,$-4.67,0.0
2016-03-31,1.8,$-5.35,0.0
2015-12-31,2.78,$-8.65,0.0
2015-09-30,6.39,$-6.35,0.0
2015-06-30,10.0,$-5.70,0.0
2015-03-31,12.99,$-3.95,0.0
2014-12-31,11.76,$2.20,5.35
2014-09-30,22.75,$2.40,9.48
2014-06-30,35.9,$3.15,11.4
2014-03-31,33.77,$2.25,15.01
2013-12-31,22.52,$-0.90,0.0
2013-09-30,24.33,$-1.45,0.0
2013-06-30,17.22,$-13.30,0.0
2013-03-31,18.77,$-13.75,0.0
2012-12-31,11.71,$-10.90,0.0
2012-09-30,14.19,$-8.90,0.0
2012-06-30,17.09,$4.60,3.71
2012-03-31,29.29,$6.75,4.34
2011-12-31,26.95,$7.05,3.82
2011-09-30,31.69,$6.35,4.99
2011-06-30,41.11,$6.90,5.96
2011-03-31,45.69,$9.35,4.89
2010-12-31,39.84,$10.60,3.76
2010-09-30,33.08,$12.00,2.76
2010-06-30,29.99,$10.50,2.86
2010-03-31,28.2,$7.45,3.79
2009-12-31,21.66,$6.35,3.41
