Altus Power PE Ratio Historical Data,Altus Power PE Ratio Historical Data,Altus Power PE Ratio Historical Data,Altus Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.94,,22.45
2024-09-30,3.18,$0.22,14.45
2024-06-30,3.92,$0.14,28.0
2024-03-31,4.78,$-0.05,0.0
2023-12-31,6.83,$-0.07,0.0
2023-09-30,5.25,$0.52,10.1
2023-06-30,5.4,$-0.14,0.0
2023-03-31,5.48,$-0.02,0.0
2022-12-31,6.52,$0.34,19.18
2022-09-30,11.01,$-0.02,0.0
2022-06-30,6.31,$0.61,10.34
2022-03-31,7.43,$0.45,16.51
2021-12-31,10.45,$0.06,174.17
