CytomX Therapeutics PE Ratio Historical Data,CytomX Therapeutics PE Ratio Historical Data,CytomX Therapeutics PE Ratio Historical Data,CytomX Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.67,,1.75
2024-12-31,1.03,$0.38,2.71
2024-09-30,1.18,$0.17,6.94
2024-06-30,1.22,$0.14,8.71
2024-03-31,2.18,$0.20,10.9
2023-12-31,1.55,$-0.02,0.0
2023-09-30,1.29,$-0.45,0.0
2023-06-30,1.72,$-0.84,0.0
2023-03-31,1.51,$-1.19,0.0
2022-12-31,1.6,$-1.51,0.0
2022-09-30,1.45,$-1.49,0.0
2022-06-30,1.83,$-1.49,0.0
2022-03-31,2.67,$-1.42,0.0
2021-12-31,4.33,$-1.31,0.0
2021-09-30,5.09,$-1.22,0.0
2021-06-30,6.33,$-1.19,0.0
2021-03-31,7.73,$-1.23,0.0
2020-12-31,6.55,$-0.71,0.0
2020-09-30,6.65,$-1.19,0.0
2020-06-30,8.33,$-1.39,0.0
2020-03-31,7.67,$-1.69,0.0
2019-12-31,8.31,$-2.26,0.0
2019-09-30,7.38,$-2.19,0.0
2019-06-30,11.22,$-2.20,0.0
2019-03-31,10.75,$-1.91,0.0
2018-12-31,15.1,$-2.00,0.0
2018-09-30,18.5,$-1.26,0.0
2018-06-30,22.86,$-1.01,0.0
2018-03-31,28.45,$-1.35,0.0
2017-12-31,21.11,$-1.18,0.0
2017-09-30,18.17,$-1.59,0.0
2017-06-30,15.5,$-1.71,0.0
2017-03-31,17.27,$-1.41,0.0
2016-12-31,10.99,$-1.62,0.0
2016-09-30,15.68,$-1.62,0.0
