GATX PE Ratio Historical Data,GATX PE Ratio Historical Data,GATX PE Ratio Historical Data,GATX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,155.95,,20.07
2024-12-31,154.96,$7.77,19.94
2024-09-30,131.98,$7.48,17.64
2024-06-30,131.34,$6.49,20.24
2024-03-31,132.4,$7.02,18.86
2023-12-31,118.22,$7.15,16.53
2023-09-30,106.53,$6.70,15.9
2023-06-30,125.42,$6.07,20.66
2023-03-31,106.71,$4.40,24.25
2022-12-31,102.63,$4.34,23.65
2022-09-30,81.79,$4.67,17.51
2022-06-30,89.96,$4.97,18.1
2022-03-31,117.21,$5.05,23.21
2021-12-31,98.53,$3.97,24.82
2021-09-30,84.28,$2.78,30.32
2021-06-30,82.77,$3.02,27.41
2021-03-31,86.31,$3.98,21.69
2020-12-31,77.02,$4.27,18.04
2020-09-30,58.69,$5.36,10.95
2020-06-30,55.72,$5.26,10.59
2020-03-31,56.72,$6.01,9.44
2019-12-31,74.61,$5.82,12.82
2019-09-30,69.44,$5.53,12.56
2019-06-30,70.62,$5.50,12.84
2019-03-31,67.6,$4.65,14.54
2018-12-31,62.31,$5.51,11.31
2018-09-30,75.75,$13.04,5.81
2018-06-30,64.59,$13.07,4.94
2018-03-31,59.24,$13.41,4.42
2017-12-31,53.42,$12.87,4.15
2017-09-30,52.53,$4.81,10.92
2017-06-30,54.45,$5.92,9.2
2017-03-31,51.32,$6.06,8.47
2016-12-31,51.47,$6.28,8.2
2016-09-30,37.0,$6.88,5.38
2016-06-30,36.16,$5.43,6.66
2016-03-31,38.72,$4.97,7.79
2015-12-31,34.35,$4.70,7.31
2015-09-30,35.32,$4.63,7.63
2015-06-30,42.18,$4.86,8.68
2015-03-31,45.71,$4.98,9.18
2014-12-31,45.09,$4.49,10.04
2014-09-30,45.46,$4.33,10.5
2014-06-30,51.87,$4.34,11.95
2014-03-31,52.33,$3.93,13.32
2013-12-31,40.01,$3.60,11.11
2013-09-30,36.21,$3.08,11.76
2013-06-30,35.91,$3.06,11.74
2013-03-31,39.1,$2.81,13.91
2012-12-31,32.38,$2.88,11.24
2012-09-30,31.51,$2.93,10.75
2012-06-30,28.39,$2.50,11.36
2012-03-31,29.48,$2.57,11.47
2011-12-31,31.72,$2.35,13.5
2011-09-30,22.36,$2.10,10.65
2011-06-30,26.56,$1.85,14.36
2011-03-31,27.44,$1.75,15.68
2010-12-31,24.83,$1.73,14.35
2010-09-30,20.48,$1.76,11.63
2010-06-30,18.46,$1.72,10.73
2010-03-31,19.63,$1.53,12.83
2009-12-31,19.5,$1.69,11.54
