Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.47,,10.31
2024-12-31,173.23,$15.96,10.85
2024-09-30,139.73,$12.39,11.28
2024-06-30,129.6,$11.29,11.48
2024-03-31,129.15,$8.77,14.73
2023-12-31,110.1,$11.25,9.79
2023-09-30,84.17,$13.48,6.24
2023-06-30,112.64,$14.43,7.81
2023-03-31,94.61,$14.85,6.37
2022-12-31,93.14,$15.49,6.01
2022-09-30,86.08,$15.36,5.6
2022-06-30,89.03,$15.36,5.8
2022-03-31,103.15,$16.95,6.09
2021-12-31,107.76,$17.77,6.06
2021-09-30,114.08,$16.72,6.82
2021-06-30,109.42,$15.63,7.0
2021-03-31,87.53,$8.88,9.86
2020-12-31,83.02,$3.59,23.13
2020-09-30,52.68,$3.25,16.21
2020-06-30,45.28,$3.16,14.33
2020-03-31,31.9,$6.68,4.78
2019-12-31,75.42,$9.08,8.31
2019-09-30,71.72,$8.86,8.1
2019-06-30,68.25,$8.55,7.98
2019-03-31,62.27,$8.14,7.65
2018-12-31,51.32,$7.81,6.57
2018-09-30,66.14,$6.77,9.77
2018-06-30,60.61,$6.31,9.6
2018-03-31,61.64,$5.80,10.63
2017-12-31,65.62,$5.41,12.13
2017-09-30,54.71,$5.82,9.4
2017-06-30,52.46,$5.79,9.06
2017-03-31,57.41,$5.86,9.8
2016-12-31,60.25,$5.78,10.42
2016-09-30,47.01,$5.52,8.52
2016-06-30,44.31,$5.34,8.3
2016-03-31,41.89,$5.20,8.06
2015-12-31,43.84,$5.13,8.55
2015-09-30,42.3,$4.86,8.7
2015-06-30,46.64,$4.85,9.62
2015-03-31,45.4,$4.87,9.32
2014-12-31,52.54,$4.90,10.72
2014-09-30,51.46,$5.26,9.78
2014-06-30,49.34,$5.09,9.69
2014-03-31,46.12,$4.94,9.34
2013-12-31,44.18,$4.96,8.91
2013-09-30,39.75,$3.73,10.66
2013-06-30,37.32,$2.53,14.75
2013-03-31,34.98,$2.54,13.77
2012-12-31,30.07,$1.21,24.85
2012-11-30,32.34,$2.20,14.7
2012-09-30,30.8,$2.20,14.0
2012-08-31,30.03,$2.17,13.84
2012-06-30,26.73,$2.17,12.32
2012-05-31,25.6,$1.18,21.69
2012-03-31,25.7,$1.18,21.78
2012-02-29,23.13,0,0.0
2011-11-30,18.28,0,0.0
2011-08-31,19.26,0,0.0
2011-05-31,18.21,0,0.0
2011-02-28,16.57,0,0.0
2010-11-30,13.91,0,0.0
2010-08-31,11.03,0,0.0
2010-05-31,10.21,0,0.0
2010-02-28,10.35,0,0.0
2009-11-30,11.71,0,0.0
