ICF PE Ratio Historical Data,ICF PE Ratio Historical Data,ICF PE Ratio Historical Data,ICF PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.83,,14.55
2024-12-31,119.21,$5.83,20.45
2024-09-30,166.61,$5.69,29.28
2024-06-30,148.17,$5.21,28.44
2024-03-31,150.19,$4.92,30.53
2023-12-31,133.58,$4.35,30.71
2023-09-30,120.23,$3.66,32.85
2023-06-30,123.66,$3.42,36.16
2023-03-31,108.93,$3.32,32.81
2022-12-31,98.22,$3.39,28.97
2022-09-30,107.97,$3.55,30.41
2022-06-30,93.95,$3.61,26.03
2022-03-31,92.97,$3.71,25.06
2021-12-31,101.13,$3.73,27.11
2021-09-30,87.93,$3.77,23.32
2021-06-30,86.39,$3.64,23.73
2021-03-31,85.81,$3.29,26.08
2020-12-31,72.86,$2.88,25.3
2020-09-30,60.21,$3.22,18.7
2020-06-30,63.3,$3.30,19.18
2020-03-31,66.93,$3.34,20.04
2019-12-31,89.07,$3.59,24.81
2019-09-30,81.99,$3.55,23.1
2019-06-30,70.54,$3.39,20.81
2019-03-31,73.58,$3.34,22.03
2018-12-31,62.53,$3.19,19.6
2018-09-30,72.68,$3.63,20.02
2018-06-30,68.33,$3.49,19.58
2018-03-31,56.1,$3.41,16.45
2017-12-31,50.27,$3.28,15.33
2017-09-30,51.65,$2.52,20.5
2017-06-30,45.1,$2.50,18.04
2017-03-31,39.54,$2.42,16.34
2016-12-31,52.85,$2.40,22.02
2016-09-30,42.43,$2.30,18.45
2016-06-30,39.16,$2.19,17.88
2016-03-31,32.91,$2.11,15.6
2015-12-31,34.05,$2.01,16.94
2015-09-30,29.1,$1.90,15.31
2015-06-30,33.38,$1.90,17.57
2015-03-31,39.11,$1.93,20.27
2014-12-31,39.24,$2.01,19.52
2014-09-30,29.48,$1.95,15.12
2014-06-30,33.86,$1.91,17.73
2014-03-31,38.12,$1.93,19.75
2013-12-31,33.23,$1.96,16.96
2013-09-30,33.9,$2.05,16.54
2013-06-30,30.17,$1.98,15.24
2013-03-31,26.04,$1.98,13.15
2012-12-31,22.44,$1.92,11.69
2012-09-30,19.24,$1.89,10.18
2012-06-30,22.83,$1.88,12.14
2012-03-31,24.29,$1.81,13.42
2011-12-31,23.73,$1.75,13.56
2011-09-30,18.01,$1.67,10.78
2011-06-30,24.3,$1.58,15.38
2011-03-31,19.67,$1.50,13.11
2010-12-31,24.63,$1.39,17.72
2010-09-30,24.01,$1.40,17.15
2010-06-30,22.91,$1.34,17.1
2010-03-31,23.78,$1.30,18.29
2009-12-31,25.66,$1.40,18.33
