Heron Therapeutics PE Ratio Historical Data,Heron Therapeutics PE Ratio Historical Data,Heron Therapeutics PE Ratio Historical Data,Heron Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.4,,0.0
2024-12-31,1.53,$-0.09,0.0
2024-09-30,1.99,$-0.18,0.0
2024-06-30,3.5,$-0.32,0.0
2024-03-31,2.77,$-0.61,0.0
2023-12-31,1.7,$-0.86,0.0
2023-09-30,1.03,$-0.96,0.0
2023-06-30,1.16,$-1.17,0.0
2023-03-31,1.51,$-1.37,0.0
2022-12-31,2.5,$-1.73,0.0
2022-09-30,4.22,$-2.10,0.0
2022-06-30,2.79,$-2.23,0.0
2022-03-31,5.72,$-2.30,0.0
2021-12-31,9.13,$-2.25,0.0
2021-09-30,10.69,$-2.39,0.0
2021-06-30,15.52,$-2.52,0.0
2021-03-31,16.21,$-2.51,0.0
2020-12-31,21.17,$-2.50,0.0
2020-09-30,14.82,$-2.47,0.0
2020-06-30,14.71,$-2.25,0.0
2020-03-31,11.74,$-2.27,0.0
2019-12-31,23.5,$-2.50,0.0
2019-09-30,18.5,$-2.48,0.0
2019-06-30,18.59,$-2.55,0.0
2019-03-31,24.44,$-2.46,0.0
2018-12-31,25.94,$-2.47,0.0
2018-09-30,31.65,$-2.93,0.0
2018-06-30,38.85,$-3.21,0.0
2018-03-31,27.6,$-3.47,0.0
2017-12-31,18.1,$-3.66,0.0
2017-09-30,16.15,$-3.79,0.0
2017-06-30,13.85,$-4.26,0.0
2017-03-31,15.0,$-4.63,0.0
2016-12-31,13.1,$-4.55,0.0
2016-09-30,17.23,$-4.20,0.0
2016-06-30,18.05,$-3.59,0.0
2016-03-31,18.99,$-3.16,0.0
2015-12-31,26.7,$-2.94,0.0
2015-09-30,24.4,$-2.78,0.0
2015-06-30,31.16,$-2.81,0.0
2015-03-31,14.55,$-2.85,0.0
2014-12-31,10.06,$-2.89,0.0
2014-09-30,8.33,$-2.93,0.0
2014-06-30,12.32,$-3.07,0.0
2014-03-31,13.91,$-3.29,0.0
2013-12-31,8.9,$-3.35,0.0
2013-09-30,6.7,$-3.20,0.0
2013-06-30,7.18,$-2.80,0.0
2013-03-31,7.4,$-2.20,0.0
2012-12-31,10.9,$-1.80,0.0
2012-09-30,12.44,$-1.20,0.0
2012-06-30,13.7,$-1.20,0.0
2012-03-31,7.4,$-1.80,0.0
2011-12-31,4.6,$-2.20,0.0
2011-09-30,5.2,$-3.00,0.0
2011-06-30,4.8,$-3.40,0.0
2011-03-31,4.6,$-4.20,0.0
2010-12-31,9.02,$-3.60,0.0
2010-09-30,12.0,$-3.80,0.0
2010-06-30,12.2,$-3.80,0.0
2010-03-31,20.4,$-4.60,0.0
2009-12-31,25.2,$-6.40,0.0
