Tiptree Financial PE Ratio Historical Data,Tiptree Financial PE Ratio Historical Data,Tiptree Financial PE Ratio Historical Data,Tiptree Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.51,,18.22
2024-12-31,20.86,$1.29,16.17
2024-09-30,19.57,$0.97,20.18
2024-06-30,16.49,$0.72,22.9
2024-03-31,17.28,$0.57,30.32
2023-12-31,18.96,$0.32,59.25
2023-09-30,16.76,$0.19,88.21
2023-06-30,15.01,$0.53,28.32
2023-03-31,14.57,$-0.27,0.0
2022-12-31,13.84,$-0.27,0.0
2022-09-30,10.76,$-0.30,0.0
2022-06-30,10.58,$-0.62,0.0
2022-03-31,12.76,$0.24,53.16
2021-12-31,13.69,$1.08,12.68
2021-09-30,9.89,$1.49,6.64
2021-06-30,9.15,$1.78,5.14
2021-03-31,8.77,$1.66,5.28
2020-12-31,4.9,$-0.89,0.0
2020-09-30,4.79,$-1.18,0.0
2020-06-30,6.2,$-1.57,0.0
2020-03-31,4.98,$-1.35,0.0
2019-12-31,7.7,$0.50,15.4
2019-09-30,6.85,$0.40,17.13
2019-06-30,5.89,$0.42,14.03
2019-03-31,5.88,$0.12,49.03
2018-12-31,5.17,$0.80,6.46
2018-09-30,6.02,$1.10,5.47
2018-06-30,6.21,$1.01,6.15
2018-03-31,5.77,$0.84,6.87
2017-12-31,5.38,$0.08,67.28
2017-09-30,5.63,$0.02,281.48
2017-06-30,6.32,$0.32,19.75
2017-03-31,6.51,$0.64,10.17
2016-12-31,5.46,$0.77,7.09
2016-09-30,5.25,$0.52,10.1
2016-06-30,4.83,$0.20,24.13
2016-03-31,5.0,$0.50,9.99
2015-12-31,5.36,$0.31,17.29
2015-09-30,5.56,$0.31,17.95
2015-06-30,6.28,$0.46,13.64
2015-03-31,5.7,$0.09,63.29
2014-12-31,6.96,$0.22,31.63
2014-09-30,7.1,$0.44,16.13
2014-06-30,7.47,$0.60,12.46
2014-03-31,6.44,$1.87,3.45
2013-12-31,6.31,$1.77,3.56
2013-09-30,6.4,$1.50,4.27
2013-06-30,6.0,$1.31,4.58
2013-03-31,5.66,$-0.08,0.0
2012-12-31,6.29,$-0.05,0.0
2012-09-30,5.83,$1.58,3.69
2012-06-30,5.63,$1.64,3.43
2012-03-31,5.46,$1.76,3.1
2011-12-31,5.04,$1.62,3.11
2011-09-30,5.05,$0.04,126.3
