Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data,Virtu Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.72,,12.7
2024-12-31,35.68,$2.97,12.01
2024-09-30,30.27,$1.99,15.21
2024-06-30,22.13,$1.98,11.18
2024-03-31,20.01,$1.43,13.99
2023-12-31,19.5,$1.40,13.93
2023-09-30,16.4,$1.62,10.13
2023-06-30,16.03,$1.36,11.78
2023-03-31,17.49,$1.98,8.83
2022-12-31,18.64,$2.40,7.77
2022-09-30,18.76,$3.02,6.21
2022-06-30,20.93,$3.24,6.46
2022-03-31,32.98,$2.96,11.14
2021-12-31,25.37,$3.87,6.56
2021-09-30,21.32,$3.86,5.52
2021-06-30,23.87,$4.19,5.7
2021-03-31,26.62,$5.27,5.05
2020-12-31,21.39,$5.18,4.13
2020-09-30,19.35,$4.15,4.66
2020-06-30,19.66,$3.19,6.16
2020-03-31,17.17,$1.34,12.82
2019-12-31,13.02,$-0.52,0.0
2019-09-30,13.14,$0.37,35.5
2019-06-30,17.27,$0.49,35.24
2019-03-31,18.63,$1.00,18.63
2018-12-31,20.02,$2.92,6.86
2018-09-30,15.89,$2.46,6.46
2018-06-30,20.41,$2.21,9.24
2018-03-31,25.18,$1.98,12.72
2017-12-31,13.85,$0.22,62.95
2017-09-30,12.08,$0.16,75.52
2017-06-30,12.99,$0.51,25.47
2017-03-31,12.33,$0.72,17.12
2016-12-31,11.41,$0.88,12.96
2016-09-30,10.53,$0.88,11.96
2016-06-30,12.48,$1.05,11.88
2016-03-31,15.12,$0.84,18.0
