Fidelity D&D Bancorp PE Ratio Historical Data,Fidelity D&D Bancorp PE Ratio Historical Data,Fidelity D&D Bancorp PE Ratio Historical Data,Fidelity D&D Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.11,,16.97
2024-12-31,48.8,$2.60,18.77
2024-09-30,48.98,$2.68,18.28
2024-06-30,43.13,$2.75,15.68
2024-03-31,47.31,$2.83,16.72
2023-12-31,56.27,$3.19,17.64
2023-09-30,43.71,$4.37,10.0
2023-06-30,46.43,$4.80,9.67
2023-03-31,43.24,$5.21,8.3
2022-12-31,44.33,$5.29,8.38
2022-09-30,37.66,$5.40,6.97
2022-06-30,37.68,$4.89,7.7
2022-03-31,42.59,$4.67,9.12
2021-12-31,53.76,$4.48,12.0
2021-09-30,45.67,$4.14,11.03
2021-06-30,48.72,$4.28,11.38
2021-03-31,55.1,$3.20,17.22
2020-12-31,57.33,$2.76,20.77
2020-09-30,43.17,$2.44,17.69
2020-06-30,42.36,$2.25,18.83
2020-03-31,44.58,$2.99,14.91
2019-12-31,54.1,$3.03,17.86
2019-09-30,53.91,$3.07,17.56
2019-06-30,57.95,$3.02,19.19
2019-03-31,50.76,$2.96,17.15
2018-12-31,54.86,$2.90,18.92
2018-09-30,58.69,$2.76,21.26
