Senestech PE Ratio Historical Data,Senestech PE Ratio Historical Data,Senestech PE Ratio Historical Data,Senestech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.22,,0.0
2024-12-31,3.31,$-8.75,0.0
2024-09-30,2.58,$-8.75,0.0
2024-06-30,5.76,$-63.10,0.0
2024-03-31,6.83,$-144.06,0.0
2023-12-31,12.7,$-298.92,0.0
2023-09-30,50.4,$-298.92,0.0
2023-06-30,134.4,$-770.71,0.0
2023-03-31,178.8,"$-1,190.88",0.0
2022-12-31,370.8,"$-1,488.60",0.0
2022-09-30,841.2,"$-1,992.80",0.0
2022-06-30,1265.76,"$-1,896.76",0.0
2022-03-31,1752.0,"$-1,632.65",0.0
2021-12-31,2349.12,"$-1,704.68",0.0
2021-09-30,3624.0,"$-2,064.83",0.0
2021-06-30,3864.0,"$-2,977.19",0.0
2021-03-31,3984.0,"$-4,153.66",0.0
2020-12-31,4140.0,"$-7,683.07",0.0
2020-09-30,4512.0,"$-6,818.73",0.0
2020-06-30,4800.0,"$-9,795.92",0.0
2020-03-31,4968.0,"$-12,701.08",0.0
2019-12-31,26400.0,"$-13,445.38",0.0
2019-09-30,48480.0,"$-18,247.30",0.0
2019-06-30,86400.0,"$-20,648.26",0.0
2019-03-31,58560.0,"$-28,331.33",0.0
2018-12-31,28089.6,"$-31,212.48",0.0
2018-09-30,33120.0,"$-33,613.44",0.0
2018-06-30,78240.0,"$-40,336.13",0.0
2018-03-31,24480.0,"$-45,138.05",0.0
2017-12-31,34560.0,"$-53,781.51",0.0
2017-09-30,88800.0,"$-46,578.63",0.0
