Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data,Live Oak Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.4,,22.28
2024-12-31,39.55,$1.23,32.15
2024-09-30,47.34,$1.59,29.77
2024-06-30,35.01,$2.19,15.99
2024-03-31,41.45,$1.99,20.83
2023-12-31,45.4,$1.64,27.69
2023-09-30,28.86,$1.32,21.87
2023-06-30,26.21,$1.40,18.72
2023-03-31,24.24,$3.17,7.65
2022-12-31,30.02,$3.92,7.66
2022-09-30,30.39,$4.54,6.69
2022-06-30,33.62,$4.34,7.75
2022-03-31,50.45,$3.59,14.05
2021-12-31,86.5,$3.71,23.32
2021-09-30,63.03,$3.73,16.9
2021-06-30,58.42,$3.78,15.45
2021-03-31,67.78,$2.46,27.55
2020-12-31,46.94,$1.39,33.77
2020-09-30,25.04,$0.88,28.45
2020-06-30,14.32,$0.16,89.52
2020-03-31,12.28,$0.19,64.64
2019-12-31,18.69,$0.44,42.48
2019-09-30,17.77,$0.53,33.52
2019-06-30,16.81,$0.78,21.55
2019-03-31,14.29,$1.00,14.29
2018-12-31,14.46,$1.24,11.66
2018-09-30,26.12,$2.72,9.6
2018-06-30,29.85,$2.71,11.01
2018-03-31,27.04,$2.64,10.24
2017-12-31,23.17,$2.51,9.23
2017-09-30,22.76,$0.93,24.47
2017-06-30,23.45,$0.70,33.5
2017-03-31,20.96,$0.43,48.75
2016-12-31,17.9,$0.39,45.89
2016-09-30,13.93,$0.39,35.73
2016-06-30,13.62,$0.38,35.83
