Liberty Media - Liberty Formula One Series A PE Ratio Historical Data,Liberty Media - Liberty Formula One Series A PE Ratio Historical Data,Liberty Media - Liberty Formula One Series A PE Ratio Historical Data,Liberty Media - Liberty Formula One Series A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.08,,88.98
2024-12-31,84.04,$0.90,93.38
2024-09-30,71.53,$1.15,62.2
2024-06-30,64.23,$1.06,60.59
2024-03-31,58.74,$1.37,42.88
