SNDL PE Ratio Historical Data,SNDL PE Ratio Historical Data,SNDL PE Ratio Historical Data,SNDL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.57,,0.0
2024-12-31,1.79,$-0.07,0.0
2024-09-30,2.06,$-0.31,0.0
2024-06-30,1.9,$-0.32,0.0
2024-03-31,2.01,$-0.40,0.0
2023-12-31,1.64,$-0.49,0.0
2023-09-30,1.9,$-0.64,0.0
2023-06-30,1.37,$-0.90,0.0
2023-03-31,1.6,$-1.05,0.0
2022-12-31,2.09,$-1.15,0.0
2022-09-30,2.18,$-0.96,0.0
2022-06-30,3.26,$-0.64,0.0
2022-03-31,7.0,$-0.60,0.0
2021-12-31,5.78,$-1.10,0.0
2021-09-30,6.78,$-1.80,0.0
2021-06-30,9.49,$-5.80,0.0
2021-03-31,11.3,$-9.70,0.0
2020-12-31,4.74,$-12.10,0.0
2020-09-30,2.41,$-24.80,0.0
2020-06-30,7.99,$-28.80,0.0
