Bridgford Foods PE Ratio Historical Data,Bridgford Foods PE Ratio Historical Data,Bridgford Foods PE Ratio Historical Data,Bridgford Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.99,,0.0
2025-01-31,10.35,$-0.63,0.0
2024-10-31,8.94,$-0.37,0.0
2024-07-31,9.38,$-0.11,0.0
2024-04-30,10.51,$0.17,61.83
2024-01-31,10.81,$0.43,25.14
2023-10-31,10.4,$0.39,26.67
2023-07-31,11.82,$0.49,24.12
2023-04-30,12.9,$4.96,2.6
2023-01-31,12.31,$5.03,2.45
2022-10-31,11.92,$4.96,2.4
2022-07-31,12.64,$4.25,2.97
2022-04-30,12.62,$-0.46,0.0
2022-01-31,12.2,$-0.75,0.0
2021-10-31,11.73,$-0.62,0.0
2021-07-31,13.07,$0.01,0.0
2021-04-30,14.24,$0.52,27.38
2021-01-31,16.75,$0.77,21.75
2020-10-31,18.25,$0.81,22.53
2020-07-31,16.1,$0.74,21.76
2020-04-30,18.22,$0.51,35.73
2020-01-31,19.06,$0.70,27.23
2019-10-31,24.67,$0.71,34.75
2019-07-31,35.67,$0.80,44.59
2019-04-30,28.71,$0.84,34.18
2019-01-31,28.25,$1.12,25.22
2018-10-31,16.77,$0.73,22.97
2018-07-31,13.7,$0.50,27.4
2018-04-30,15.03,$0.56,26.84
2018-01-31,16.51,$0.19,86.89
2017-10-31,12.8,$0.64,20.0
2017-07-31,11.16,$0.93,12.0
2017-04-30,12.42,$0.91,13.65
2017-01-31,12.0,$0.92,13.05
2016-10-31,11.4,$0.86,13.26
2016-07-31,13.64,$1.77,7.71
2016-04-30,12.23,$1.77,6.91
2016-01-31,8.71,$1.85,4.71
2015-10-31,9.1,$1.69,5.38
2015-07-31,8.77,$0.39,22.49
2015-04-30,8.29,$-0.07,0.0
2015-01-31,7.51,$-0.45,0.0
2014-10-31,8.25,$-0.47,0.0
2014-07-31,7.77,$-0.25,0.0
2014-04-30,10.07,$0.01,0.0
2014-01-31,9.55,$0.16,59.69
2013-10-31,10.09,$0.32,31.53
2013-07-31,7.38,$0.42,17.57
2013-04-30,7.58,$0.51,14.86
2013-01-31,6.5,$0.61,10.66
2012-10-31,6.9,$0.39,17.69
2012-07-31,7.74,$0.06,129.06
2012-04-30,9.64,$-0.08,0.0
2012-01-31,11.08,$-0.20,0.0
2011-10-31,9.58,$-0.04,0.0
2011-07-31,10.97,$0.26,42.19
2011-04-30,10.17,$0.23,44.2
2011-01-31,11.89,$0.44,27.03
2010-10-31,12.1,$0.46,26.3
2010-07-31,14.34,$0.61,23.51
2010-04-30,12.62,$0.80,15.78
2010-01-31,9.7,$0.72,13.47
2009-10-31,8.13,$0.73,11.14
