East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data,East West Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.89,,10.79
2024-12-31,95.76,$8.33,11.5
2024-09-30,82.27,$7.92,10.39
2024-06-30,72.31,$7.80,9.27
2024-03-31,77.55,$7.94,9.77
2023-12-31,69.98,$8.18,8.55
2023-09-30,50.81,$8.86,5.73
2023-06-30,50.5,$8.92,5.66
2023-03-31,52.6,$8.53,6.17
2022-12-31,62.08,$7.92,7.84
2022-09-30,62.9,$7.07,8.9
2022-06-30,60.37,$6.56,9.2
2022-03-31,73.2,$6.32,11.58
2021-12-31,72.56,$6.10,11.9
2021-09-30,71.21,$5.73,12.43
2021-06-30,65.54,$5.28,12.41
2021-03-31,67.17,$4.41,15.23
2020-12-31,45.93,$3.97,11.57
2020-09-30,29.43,$4.11,7.16
2020-06-30,32.32,$4.16,7.77
2020-03-31,22.77,$4.49,5.07
2019-12-31,42.83,$4.61,9.29
2019-09-30,38.71,$4.50,8.6
2019-06-30,40.64,$4.50,9.03
2019-03-31,41.46,$4.65,8.92
2018-12-31,37.45,$4.81,7.79
2018-09-30,51.72,$4.21,12.28
2018-06-30,55.66,$3.95,14.09
2018-03-31,53.23,$3.58,14.87
2017-12-31,51.61,$3.46,14.92
2017-09-30,50.55,$3.64,13.89
2017-06-30,49.37,$3.49,14.14
2017-03-31,43.34,$3.39,12.78
2016-12-31,42.52,$2.97,14.32
2016-09-30,30.55,$2.84,10.76
2016-06-30,28.28,$2.73,10.36
2016-03-31,26.73,$2.70,9.9
2015-12-31,33.99,$2.65,12.83
2015-09-30,31.27,$2.67,11.71
2015-06-30,36.32,$2.64,13.76
2015-03-31,32.63,$2.54,12.85
2014-12-31,31.05,$2.39,12.99
2014-09-30,27.14,$2.29,11.85
2014-06-30,27.78,$2.20,12.63
2014-03-31,28.83,$2.14,13.47
2013-12-31,27.48,$2.10,13.08
2013-09-30,24.99,$2.04,12.25
2013-06-30,21.41,$1.99,10.76
2013-03-31,19.86,$1.94,10.24
2012-12-31,16.52,$1.89,8.74
2012-09-30,16.16,$1.83,8.83
2012-06-30,17.87,$1.76,10.15
2012-03-31,17.51,$1.68,10.42
2011-12-31,14.91,$1.60,9.32
2011-09-30,11.23,$1.39,8.08
2011-06-30,15.17,$1.25,12.14
2011-03-31,16.44,$1.07,15.37
2010-12-31,14.63,$0.83,17.63
2010-09-30,12.18,$2.57,4.74
2010-06-30,11.4,$1.39,8.2
2010-03-31,13.02,$-0.65,0.0
2009-12-31,11.8,$-1.28,0.0
