AIM ImmunoTech PE Ratio Historical Data,AIM ImmunoTech PE Ratio Historical Data,AIM ImmunoTech PE Ratio Historical Data,AIM ImmunoTech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.13,,0.0
2024-09-30,0.27,$-0.47,0.0
2024-06-30,0.37,$-0.57,0.0
2024-03-31,0.47,$-0.64,0.0
2023-12-31,0.44,$-0.60,0.0
2023-09-30,0.46,$-0.43,0.0
2023-06-30,0.67,$-0.40,0.0
2023-03-31,0.43,$-0.40,0.0
2022-12-31,0.31,$-0.40,0.0
2022-09-30,0.58,$-0.43,0.0
2022-06-30,0.78,$-0.38,0.0
2022-03-31,1.06,$-0.40,0.0
2021-12-31,0.92,$-0.40,0.0
2021-09-30,2.02,$-0.37,0.0
2021-06-30,2.15,$-0.37,0.0
2021-03-31,2.27,$-0.36,0.0
2020-12-31,1.79,$-0.50,0.0
2020-09-30,2.15,$-0.41,0.0
2020-06-30,2.48,$-1.46,0.0
2020-03-31,2.56,$-2.42,0.0
2019-12-31,0.54,$-5.28,0.0
2019-09-30,0.76,$-6.61,0.0
2019-06-30,4.39,$-8.56,0.0
2019-03-31,7.04,$-9.69,0.0
2018-12-31,7.96,$-9.69,0.0
2018-09-30,10.12,$-11.01,0.0
2018-06-30,14.08,$-9.69,0.0
2018-03-31,17.38,$-11.01,0.0
2017-12-31,15.22,$-12.78,0.0
2017-09-30,14.19,$-11.89,0.0
2017-06-30,22.0,$-15.86,0.0
2017-03-31,23.98,$-17.62,0.0
2016-12-31,30.35,$-18.07,0.0
2016-09-30,55.44,$-21.59,0.0
2016-06-30,60.83,$-26.44,0.0
2016-03-31,70.28,$-31.73,0.0
2015-12-31,42.5,$-37.02,0.0
2015-09-30,90.02,$-42.31,0.0
2015-06-30,107.98,$-42.31,0.0
2015-03-31,120.38,$-47.60,0.0
2014-12-31,132.0,$-47.60,0.0
2014-09-30,169.44,$-47.60,0.0
2014-06-30,163.68,$-52.88,0.0
2014-03-31,211.2,$-52.88,0.0
2013-12-31,139.92,$-52.88,0.0
2013-09-30,124.13,$-58.17,0.0
2013-06-30,117.53,$-63.46,0.0
2013-03-31,100.32,$-58.17,0.0
2012-12-31,132.42,$-58.17,0.0
2012-09-30,422.4,$-52.89,0.0
2012-06-30,146.78,$-42.31,0.0
2012-03-31,205.92,$-42.31,0.0
2011-12-31,103.01,$-37.02,0.0
2011-09-30,163.68,$-37.02,0.0
2011-06-30,208.03,$-37.02,0.0
2011-03-31,242.88,$-42.31,0.0
2010-12-31,260.57,$-52.88,0.0
2010-09-30,297.0,$-58.17,0.0
2010-06-30,247.37,$-58.17,0.0
2010-03-31,390.72,$-63.46,0.0
2009-12-31,295.68,$-68.75,0.0
