Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,101.28,,21.87
2024-12-31,114.65,$4.63,24.76
2024-09-30,149.68,$0.71,210.81
2024-06-30,143.7,$2.08,69.09
2024-03-31,151.15,$1.99,75.96
2023-12-31,137.95,$3.70,37.28
2023-09-30,122.4,$9.35,13.09
2023-06-30,116.85,$10.25,11.4
2023-03-31,113.09,$14.54,7.78
2022-12-31,99.68,$17.32,5.76
2022-09-30,84.18,$20.51,4.1
2022-06-30,94.65,$22.10,4.28
2022-03-31,118.87,$19.54,6.08
2021-12-31,93.32,$15.58,5.99
2021-09-30,87.3,$11.47,7.61
2021-06-30,85.98,$7.23,11.89
2021-03-31,84.52,$3.30,25.61
2020-12-31,77.43,$2.56,30.25
2020-09-30,59.78,$2.25,26.57
2020-06-30,50.5,$3.02,16.72
2020-03-31,35.72,$3.83,9.33
2019-12-31,65.36,$3.25,20.11
2019-09-30,60.82,$3.64,16.71
2019-06-30,64.17,$4.77,13.45
2019-03-31,62.44,$5.97,10.46
2018-12-31,60.67,$7.62,7.96
2018-09-30,75.93,$12.82,5.92
2018-06-30,98.08,$12.08,8.12
2018-03-31,101.11,$11.13,9.08
2017-12-31,96.73,$9.99,9.68
2017-09-30,75.28,$4.60,16.36
2017-06-30,59.82,$3.50,17.09
2017-03-31,59.49,$3.18,18.71
2016-12-31,50.28,$3.06,16.43
2016-09-30,47.88,$3.14,15.25
2016-06-30,38.27,$4.02,9.52
2016-03-31,41.11,$4.71,8.73
2015-12-31,48.03,$4.87,9.86
2015-09-30,45.74,$5.40,8.47
2015-06-30,60.25,$5.26,11.45
2015-03-31,63.04,$4.98,12.66
2014-12-31,53.4,$5.06,10.55
2014-09-30,75.5,$4.96,15.22
2014-06-30,72.91,$4.98,14.64
2014-03-31,57.52,$4.81,11.97
2013-12-31,52.99,$4.55,11.66
2013-09-30,45.34,$3.99,11.38
2013-06-30,41.68,$3.37,12.39
2013-03-31,40.34,$3.14,12.85
2012-12-31,34.14,$2.88,11.87
2012-09-30,29.85,$2.37,12.62
2012-06-30,21.3,$2.22,9.59
2012-03-31,26.37,$1.97,13.42
2011-12-31,16.36,$1.94,8.45
2011-09-30,13.91,$2.37,5.88
2011-06-30,21.03,$2.34,9.01
2011-03-31,22.74,$2.16,10.53
2010-12-31,17.57,$1.67,10.52
2010-09-30,12.08,$1.14,10.64
2010-06-30,7.48,$0.89,8.45
2010-03-31,10.35,$0.59,17.7
2009-12-31,9.98,$0.41,24.65
