Vasta Platform PE Ratio Historical Data,Vasta Platform PE Ratio Historical Data,Vasta Platform PE Ratio Historical Data,Vasta Platform PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.48,,0.0
2024-09-30,2.63,$-0.07,0.0
2024-06-30,3.05,$-0.05,0.0
2024-03-31,4.03,$-0.14,0.0
2023-12-31,4.46,$-0.21,0.0
2023-09-30,4.13,$-0.18,0.0
2023-06-30,3.35,$-0.20,0.0
2023-03-31,3.19,$-0.19,0.0
2022-12-31,4.0,$-0.13,0.0
2022-09-30,5.25,$-0.26,0.0
2022-06-30,4.77,$-0.25,0.0
2022-03-31,5.72,$-0.21,0.0
2021-12-31,4.23,$-0.27,0.0
2021-09-30,4.56,$-0.31,0.0
2021-06-30,8.12,$-0.15,0.0
