InnSuites Hospitality Trust PE Ratio Historical Data,InnSuites Hospitality Trust PE Ratio Historical Data,InnSuites Hospitality Trust PE Ratio Historical Data,InnSuites Hospitality Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.56,,0.0
2024-10-31,1.91,$-0.10,0.0
2024-07-31,1.58,$-0.06,0.0
2024-04-30,1.36,$-0.02,0.0
2024-01-31,1.42,$0.03,47.39
2023-10-31,1.14,$0.06,19.08
2023-07-31,1.97,$0.06,32.87
2023-04-30,1.25,$0.07,17.81
2023-01-31,1.62,$0.06,27.07
2022-10-31,1.84,$0.12,15.37
2022-07-31,2.92,$0.08,36.48
2022-04-30,2.46,$0.06,41.02
2022-01-31,2.88,$0.03,95.98
2021-10-31,3.61,$-0.10,0.0
2021-07-31,5.01,$-0.15,0.0
2021-04-30,2.17,$-0.28,0.0
2021-01-31,2.73,$-0.31,0.0
2020-10-31,1.59,$-0.26,0.0
2020-07-31,0.96,$-0.20,0.0
2020-04-30,0.86,$-0.11,0.0
2020-01-31,1.5,$-0.09,0.0
2019-10-31,1.48,$-0.09,0.0
2019-07-31,1.43,$0.16,8.95
2019-04-30,1.55,$0.06,25.89
2019-01-31,1.58,$0.05,31.66
2018-10-31,1.38,$0.05,27.66
2018-07-31,1.16,$-0.26,0.0
2018-04-30,1.54,$0.85,1.81
2018-01-31,1.61,$0.86,1.87
2017-10-31,1.61,$0.86,1.87
2017-07-31,1.85,$0.70,2.64
2017-04-30,1.74,$-0.28,0.0
2017-01-31,1.99,$-0.26,0.0
2016-10-31,1.96,$-0.26,0.0
2016-07-31,2.09,$0.01,0.0
2016-04-30,2.28,$-0.06,0.0
2016-01-31,2.03,$-0.06,0.0
2015-10-31,2.16,$-0.15,0.0
2015-07-31,2.1,$-0.25,0.0
2015-04-30,2.01,$-0.26,0.0
2015-01-31,2.44,$-0.25,0.0
2014-10-31,2.01,$-0.18,0.0
2014-07-31,1.78,$-0.18,0.0
2014-04-30,1.79,$-0.16,0.0
2014-01-31,1.37,$-0.12,0.0
2013-10-31,1.63,$-0.15,0.0
2013-07-31,1.53,$-0.13,0.0
2013-04-30,1.67,$-0.13,0.0
2013-01-31,1.55,$-0.13,0.0
2012-10-31,1.94,$-0.11,0.0
2012-07-31,2.12,$-0.12,0.0
2012-04-30,2.03,$-0.08,0.0
2012-01-31,1.98,$-0.13,0.0
2011-10-31,1.85,$-0.17,0.0
2011-07-31,1.54,$-0.19,0.0
2011-04-30,1.63,$-0.24,0.0
2011-01-31,1.17,$-0.23,0.0
2010-10-31,1.07,$-0.21,0.0
2010-07-31,1.17,$-0.19,0.0
2010-04-30,1.28,$-0.17,0.0
2010-01-31,1.2,$-0.12,0.0
2009-10-31,1.12,$-0.07,0.0
