Cato PE Ratio Historical Data,Cato PE Ratio Historical Data,Cato PE Ratio Historical Data,Cato PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.26,,0.0
2024-10-31,6.53,$-1.38,0.0
2024-07-31,4.93,$-0.89,0.0
2024-04-30,4.51,$-0.84,0.0
2024-01-31,6.13,$-1.16,0.0
2023-10-31,6.31,$-0.16,0.0
2023-07-31,7.35,$-0.07,0.0
2023-04-30,6.99,$-0.24,0.0
2023-01-31,8.26,$0.00,0.0
2022-10-31,9.71,$-0.16,0.0
2022-07-31,9.9,$0.44,22.5
2022-04-30,10.7,$1.17,9.15
2022-01-31,12.9,$1.63,7.92
2021-10-31,13.63,$1.62,8.41
2021-07-31,12.62,$1.08,11.68
2021-04-30,10.18,$0.16,63.61
2021-01-31,8.64,$-1.95,0.0
2020-10-31,4.65,$-1.77,0.0
2020-07-31,5.46,$-1.38,0.0
2020-04-30,8.55,$-0.60,0.0
2020-01-31,11.9,$1.46,8.15
2019-10-31,12.74,$1.46,8.73
2019-07-31,10.27,$1.38,7.45
2019-04-30,10.56,$1.16,9.11
2019-01-31,10.1,$1.23,8.21
2018-10-31,12.81,$0.74,17.31
2018-07-31,16.29,$0.69,23.6
2018-04-30,10.46,$0.40,26.15
2018-01-31,7.46,$0.31,24.07
2017-10-31,7.91,$0.45,17.57
2017-07-31,10.21,$0.64,15.95
2017-04-30,13.32,$1.24,10.74
2017-01-31,14.79,$1.68,8.8
2016-10-31,17.1,$2.58,6.63
2016-07-31,20.41,$2.58,7.91
2016-04-30,20.7,$2.57,8.05
2016-01-31,22.62,$2.39,9.47
2015-10-31,21.02,$2.30,9.14
2015-07-31,21.19,$2.20,9.63
2015-04-30,21.53,$2.20,9.79
2015-01-31,23.04,$2.13,10.82
2014-10-31,19.24,$1.93,9.97
2014-07-31,16.51,$1.90,8.69
2014-04-30,15.09,$1.85,8.15
2014-01-31,14.66,$1.86,7.88
2013-10-31,15.68,$2.00,7.84
2013-07-31,14.7,$1.99,7.39
2013-04-30,12.52,$2.07,6.05
2013-01-31,14.34,$2.11,6.8
2012-10-31,13.59,$2.19,6.21
2012-07-31,13.31,$2.24,5.94
2012-04-30,13.11,$2.26,5.8
2012-01-31,12.53,$2.21,5.67
2011-10-31,11.86,$2.13,5.57
2011-07-31,12.75,$2.15,5.93
2011-04-30,11.6,$2.08,5.57
2011-01-31,11.03,$1.96,5.63
2010-10-31,11.85,$1.94,6.11
2010-07-31,10.35,$1.81,5.72
2010-04-30,10.48,$1.83,5.73
2010-01-31,8.96,$1.55,5.78
2009-10-31,8.56,$1.43,5.98
