Five Star Bancorp PE Ratio Historical Data,Five Star Bancorp PE Ratio Historical Data,Five Star Bancorp PE Ratio Historical Data,Five Star Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.43,,12.47
2024-12-31,30.09,$2.28,13.2
2024-09-30,29.73,$2.28,13.04
2024-06-30,23.65,$2.40,9.85
2024-03-31,22.5,$2.63,8.56
2023-12-31,26.18,$2.78,9.42
2023-09-30,20.06,$2.92,6.87
2023-06-30,22.37,$2.96,7.56
2023-03-31,21.34,$2.80,7.62
2022-12-31,27.24,$2.61,10.44
2022-09-30,28.36,$2.50,11.34
2022-06-30,26.26,$2.46,10.68
2022-03-31,27.97,$2.55,10.97
2021-12-31,29.5,$1.97,14.98
2021-09-30,23.4,$1.31,17.86
