Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.28,,25.65
2024-12-31,90.91,$3.52,25.83
2024-09-30,103.3,$3.49,29.6
2024-06-30,96.07,$3.45,27.85
2024-03-31,88.64,$3.16,28.05
2023-12-31,78.0,$2.78,28.06
2023-09-30,69.13,$1.92,36.0
2023-06-30,74.43,$1.80,41.35
2023-03-31,72.15,$1.92,37.58
2022-12-31,75.18,$2.13,35.29
2022-09-30,66.58,$2.30,28.95
2022-06-30,75.49,$2.31,32.68
2022-03-31,71.02,$2.42,29.35
2021-12-31,79.5,$2.56,31.05
2021-09-30,69.99,$3.13,22.36
2021-06-30,74.92,$3.19,23.49
2021-03-31,72.2,$3.10,23.29
2020-12-31,77.88,$3.13,24.88
2020-09-30,69.88,$3.13,22.33
2020-06-30,65.97,$2.99,22.06
2020-03-31,59.4,$2.93,20.27
2019-12-31,61.25,$2.75,22.27
2019-09-30,64.98,$2.70,24.07
2019-06-30,62.99,$2.63,23.95
2019-03-31,59.87,$2.68,22.34
2018-12-31,51.64,$2.75,18.78
2018-09-30,57.69,$2.42,23.84
2018-06-30,55.49,$2.50,22.2
2018-03-31,61.01,$2.36,25.85
2017-12-31,63.89,$2.28,28.02
2017-09-30,61.35,$2.59,23.69
2017-06-30,62.08,$2.69,23.08
2017-03-31,60.96,$2.77,22.01
2016-12-31,54.19,$2.72,19.92
2016-09-30,61.06,$1.53,39.91
2016-06-30,59.97,$1.55,38.69
2016-03-31,57.56,$1.51,38.12
2015-12-31,53.96,$1.51,35.73
2015-09-30,51.11,$2.70,18.93
2015-06-30,52.38,$2.49,21.04
2015-03-31,55.22,$2.53,21.83
2014-12-31,54.82,$2.36,23.23
2014-09-30,51.38,$2.28,22.53
2014-06-30,53.43,$2.39,22.36
2014-03-31,50.57,$2.32,21.8
2013-12-31,50.56,$2.39,21.2
2013-09-30,45.73,$2.42,18.94
2013-06-30,43.93,$2.40,18.34
2013-03-31,45.0,$2.45,18.4
2012-12-31,39.63,$2.58,15.39
2012-09-30,40.41,$2.55,15.85
2012-06-30,39.0,$2.53,15.45
2012-03-31,36.41,$2.51,14.53
2011-12-31,34.18,$2.47,13.84
2011-09-30,32.6,$2.49,13.12
2011-06-30,31.93,$2.44,13.11
2011-03-31,29.29,$2.39,12.25
2010-12-31,28.95,$2.16,13.43
2010-09-30,27.5,$2.14,12.85
2010-06-30,28.0,$2.10,13.36
2010-03-31,30.12,$2.05,14.73
2009-12-31,28.86,$2.18,13.24
