Montauk Renewables PE Ratio Historical Data,Montauk Renewables PE Ratio Historical Data,Montauk Renewables PE Ratio Historical Data,Montauk Renewables PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.14,,17.83
2024-12-31,3.98,$0.12,33.17
2024-09-30,5.21,$0.16,32.56
2024-06-30,5.7,$0.13,43.85
2024-03-31,4.16,$0.15,27.73
2023-12-31,8.91,$0.11,81.0
2023-09-30,9.11,$0.12,75.92
2023-06-30,7.44,$0.11,67.64
2023-03-31,7.87,$0.23,34.22
2022-12-31,11.03,$0.25,44.12
2022-09-30,17.44,$0.24,72.67
2022-06-30,10.05,$0.22,45.68
2022-03-31,11.2,$0.06,186.67
2021-12-31,10.25,$-0.03,0.0
