CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.98,,16.75
2024-12-31,32.27,$1.79,18.03
2024-09-30,34.42,$1.86,18.5
2024-06-30,33.22,$1.82,18.26
2024-03-31,36.69,$1.82,20.16
2023-12-31,34.21,$1.84,18.59
2023-09-30,30.23,$1.88,16.08
2023-06-30,33.41,$1.98,16.87
2023-03-31,29.23,$2.03,14.4
2022-12-31,30.14,$1.94,15.53
2022-09-30,25.83,$1.87,13.81
2022-06-30,28.09,$1.78,15.78
2022-03-31,36.09,$1.76,20.51
2021-12-31,36.13,$1.68,21.5
2021-09-30,28.5,$1.59,17.93
2021-06-30,30.66,$1.48,20.71
2021-03-31,30.63,$1.18,26.03
2020-12-31,28.74,$1.20,23.95
2020-09-30,24.53,$1.20,20.44
2020-06-30,21.95,$1.24,17.7
2020-03-31,17.97,$1.38,12.99
2019-12-31,22.61,$1.39,16.27
2019-09-30,21.57,$1.40,15.45
2019-06-30,24.01,$1.39,17.31
2019-03-31,23.14,$1.36,16.97
2018-12-31,19.15,$1.28,14.92
2018-09-30,22.83,$2.49,9.18
2018-06-30,19.61,$2.31,8.5
2018-03-31,17.07,$2.15,7.93
2017-12-31,16.78,$2.02,8.3
2017-09-30,16.49,$0.65,25.51
2017-06-30,16.52,$0.64,25.95
2017-03-31,14.04,$0.61,23.02
2016-12-31,10.8,$0.60,17.9
2016-09-30,9.12,$0.60,15.2
2016-06-30,7.75,$0.61,12.63
2016-03-31,7.6,$0.64,11.81
2015-12-31,7.6,$0.67,11.34
2015-09-30,7.83,$0.67,11.63
2015-06-30,9.44,$0.67,14.09
2015-03-31,9.53,$0.66,14.44
2014-12-31,10.38,$0.64,16.13
2014-09-30,9.14,$0.62,14.75
2014-06-30,8.74,$0.60,14.49
2014-03-31,8.17,$0.60,13.63
2013-12-31,8.07,$0.62,13.09
2013-09-30,7.18,$0.62,11.59
2013-06-30,6.43,$0.61,10.49
2013-03-31,6.79,$0.60,11.26
2012-12-31,5.41,$0.60,9.06
2012-09-30,5.65,$0.60,9.46
2012-06-30,6.05,$0.59,10.19
2012-03-31,5.78,$0.58,9.91
2011-12-31,5.63,$0.56,10.09
2011-09-30,4.96,$0.54,9.17
2011-06-30,6.93,$0.52,13.38
2011-03-31,6.89,$0.48,14.25
2010-12-31,5.64,$0.45,12.48
2010-09-30,4.81,$0.41,11.7
2010-06-30,4.3,$0.37,11.51
2010-03-31,4.39,$0.34,12.85
2009-12-31,4.16,$0.32,12.85
