FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.02,,0.0
2024-12-31,4.4,$-7.54,0.0
2024-09-30,4.85,$-9.22,0.0
2024-06-30,4.7,$-8.07,0.0
2024-03-31,6.3,$-6.17,0.0
2023-12-31,5.5,$-5.75,0.0
2023-09-30,6.5,$-8.36,0.0
2023-06-30,6.48,$-8.19,0.0
2023-03-31,5.82,$-8.16,0.0
2022-12-31,5.19,$-7.66,0.0
2022-09-30,7.7,$-4.75,0.0
2022-06-30,7.52,$-3.59,0.0
